;;;Date_deces_Cim10#Annee;Cause_deces#Causes_de_deces_alphabetique;Lieu_domicile#commune;Nb_deces_standardises
;;;;;;
;;;2018;Alcool;97301 - Régina;
;;;2018;Tabac;97301 - Régina;
;;;2018;Suicide;97301 - Régina;
;;;2018;Alcool;97302 - Cayenne;34,75
;;;2018;Tabac;97302 - Cayenne;95,06
;;;2018;Suicide;97302 - Cayenne;3,39
;;;2018;Alcool;97303 - Iracoubo;
;;;2018;Tabac;97303 - Iracoubo;
;;;2018;Suicide;97303 - Iracoubo;
;;;2018;Alcool;97304 - Kourou;29,17
;;;2018;Tabac;97304 - Kourou;148,82
;;;2018;Suicide;97304 - Kourou;0,00
;;;2018;Alcool;97305 - Macouria;0,00
;;;2018;Tabac;97305 - Macouria;0,00
;;;2018;Suicide;97305 - Macouria;21,14
;;;2018;Alcool;97306 - Mana;33,44
;;;2018;Tabac;97306 - Mana;142,68
;;;2018;Suicide;97306 - Mana;0,00
;;;2018;Alcool;97307 - Matoury;34,02
;;;2018;Tabac;97307 - Matoury;78,24
;;;2018;Suicide;97307 - Matoury;7,96
;;;2018;Alcool;97308 - Saint-Georges;0,00
;;;2018;Tabac;97308 - Saint-Georges;248,10
;;;2018;Suicide;97308 - Saint-Georges;0,00
;;;2018;Alcool;97309 - Remire-Montjoly;38,94
;;;2018;Tabac;97309 - Remire-Montjoly;98,87
;;;2018;Suicide;97309 - Remire-Montjoly;22,01
;;;2018;Alcool;97310 - Roura;0,00
;;;2018;Tabac;97310 - Roura;0,00
;;;2018;Suicide;97310 - Roura;0,00
;;;2018;Alcool;97311 - Saint-Laurent-du-Maroni;21,22
;;;2018;Tabac;97311 - Saint-Laurent-du-Maroni;338,41
;;;2018;Suicide;97311 - Saint-Laurent-du-Maroni;0,00
;;;2018;Alcool;97312 - Sinnamary;65,30
;;;2018;Tabac;97312 - Sinnamary;0,00
;;;2018;Suicide;97312 - Sinnamary;0,00
;;;2018;Alcool;97313 - Montsinéry-Tonnegrande;
;;;2018;Tabac;97313 - Montsinéry-Tonnegrande;
;;;2018;Suicide;97313 - Montsinéry-Tonnegrande;
;;;2018;Alcool;97314 - Ouanary;0,00
;;;2018;Tabac;97314 - Ouanary;0,00
;;;2018;Suicide;97314 - Ouanary;0,00
;;;2018;Alcool;97352 - Saül;
;;;2018;Tabac;97352 - Saül;
;;;2018;Suicide;97352 - Saül;
;;;2018;Alcool;97353 - Maripasoula;0,00
;;;2018;Tabac;97353 - Maripasoula;0,00
;;;2018;Suicide;97353 - Maripasoula;27,98
;;;2018;Alcool;97356 - Camopi;
;;;2018;Tabac;97356 - Camopi;
;;;2018;Suicide;97356 - Camopi;
;;;2018;Alcool;97357 - Grand-Santi;0,00
;;;2018;Tabac;97357 - Grand-Santi;0,00
;;;2018;Suicide;97357 - Grand-Santi;0,00
;;;2018;Alcool;97358 - Saint-Élie;
;;;2018;Tabac;97358 - Saint-Élie;
;;;2018;Suicide;97358 - Saint-Élie;
;;;2018;Alcool;97360 - Apatou;0,00
;;;2018;Tabac;97360 - Apatou;0,00
;;;2018;Suicide;97360 - Apatou;17,59
;;;2018;Alcool;97361 - Awala-Yalimapo;
;;;2018;Tabac;97361 - Awala-Yalimapo;
;;;2018;Suicide;97361 - Awala-Yalimapo;
;;;2018;Alcool;97362 - Papaichton;0,00
;;;2018;Tabac;97362 - Papaichton;0,00
;;;2018;Suicide;97362 - Papaichton;0,00
;;;2019;Alcool;97301 - Régina;
;;;2019;Tabac;97301 - Régina;
;;;2019;Suicide;97301 - Régina;
;;;2019;Alcool;97302 - Cayenne;50,73
;;;2019;Tabac;97302 - Cayenne;152,30
;;;2019;Suicide;97302 - Cayenne;10,09
;;;2019;Alcool;97303 - Iracoubo;756,09
;;;2019;Tabac;97303 - Iracoubo;339,91
;;;2019;Suicide;97303 - Iracoubo;82,08
;;;2019;Alcool;97304 - Kourou;76,56
;;;2019;Tabac;97304 - Kourou;122,80
;;;2019;Suicide;97304 - Kourou;6,21
;;;2019;Alcool;97305 - Macouria;32,60
;;;2019;Tabac;97305 - Macouria;149,62
;;;2019;Suicide;97305 - Macouria;5,69
;;;2019;Alcool;97306 - Mana;65,89
;;;2019;Tabac;97306 - Mana;211,32
;;;2019;Suicide;97306 - Mana;10,48
;;;2019;Alcool;97307 - Matoury;32,13
;;;2019;Tabac;97307 - Matoury;53,47
;;;2019;Suicide;97307 - Matoury;2,46
;;;2019;Alcool;97308 - Saint-Georges;92,85
;;;2019;Tabac;97308 - Saint-Georges;112,50
;;;2019;Suicide;97308 - Saint-Georges;0,00
