;;;Date_deces_Cim10#Annee;Cause_deces#Causes_de_deces_alphabetique;Lieu_domicile#commune;Nb_deces_standardises
;;;;;;
;;;2018;Alzheimer;97301 - Régina;0,00
;;;2018;Asthme;97301 - Régina;0,00
;;;2018;Cancer de la prostate;97301 - Régina;0,00
;;;2018;Cancer de la trachée, des bronches et du poumon;97301 - Régina;0,00
;;;2018;Cancer du côlon-rectum;97301 - Régina;0,00
;;;2018;Cancer du sein;97301 - Régina;0,00
;;;2018;Cardiopathies ischémiques;97301 - Régina;0,00
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97301 - Régina;0,00
;;;2018;Diabète;97301 - Régina;0,00
;;;2018;Maladie chronique du foie;97301 - Régina;0,00
;;;2018;Maladie de Parkinson;97301 - Régina;0,00
;;;2018;Maladie hypertensive;97301 - Régina;0,00
;;;2018;Maladies vasculaires cérébrales;97301 - Régina;0,00
;;;2018;Sida;97301 - Régina;0,00
;;;2018;Alzheimer;97302 - Cayenne;74,26
;;;2018;Asthme;97302 - Cayenne;0,00
;;;2018;Cancer de la prostate;97302 - Cayenne;85,21
;;;2018;Cancer de la trachée, des bronches et du poumon;97302 - Cayenne;17,47
;;;2018;Cancer du côlon-rectum;97302 - Cayenne;66,77
;;;2018;Cancer du sein;97302 - Cayenne;36,04
;;;2018;Cardiopathies ischémiques;97302 - Cayenne;83,86
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97302 - Cayenne;124,71
;;;2018;Diabète;97302 - Cayenne;384,77
;;;2018;Maladie chronique du foie;97302 - Cayenne;22,65
;;;2018;Maladie de Parkinson;97302 - Cayenne;28,66
;;;2018;Maladie hypertensive;97302 - Cayenne;362,57
;;;2018;Maladies vasculaires cérébrales;97302 - Cayenne;162,42
;;;2018;Sida;97302 - Cayenne;11,37
;;;2018;Alzheimer;97304 - Kourou;0,00
;;;2018;Asthme;97304 - Kourou;11,80
;;;2018;Cancer de la prostate;97304 - Kourou;100,82
;;;2018;Cancer de la trachée, des bronches et du poumon;97304 - Kourou;134,81
;;;2018;Cancer du côlon-rectum;97304 - Kourou;100,82
;;;2018;Cancer du sein;97304 - Kourou;0,00
;;;2018;Cardiopathies ischémiques;97304 - Kourou;87,35
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97304 - Kourou;30,08
;;;2018;Diabète;97304 - Kourou;110,56
;;;2018;Maladie chronique du foie;97304 - Kourou;18,28
;;;2018;Maladie de Parkinson;97304 - Kourou;0,00
;;;2018;Maladie hypertensive;97304 - Kourou;148,93
;;;2018;Maladies vasculaires cérébrales;97304 - Kourou;36,32
;;;2018;Sida;97304 - Kourou;12,72
;;;2018;Alzheimer;97305 - Macouria;344,27
;;;2018;Asthme;97305 - Macouria;0,00
;;;2018;Cancer de la prostate;97305 - Macouria;51,66
;;;2018;Cancer de la trachée, des bronches et du poumon;97305 - Macouria;0,00
;;;2018;Cancer du côlon-rectum;97305 - Macouria;20,26
;;;2018;Cancer du sein;97305 - Macouria;49,16
;;;2018;Cardiopathies ischémiques;97305 - Macouria;0,00
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97305 - Macouria;16,36
;;;2018;Diabète;97305 - Macouria;155,12
;;;2018;Maladie chronique du foie;97305 - Macouria;17,42
;;;2018;Maladie de Parkinson;97305 - Macouria;137,70
;;;2018;Maladie hypertensive;97305 - Macouria;319,69
;;;2018;Maladies vasculaires cérébrales;97305 - Macouria;619,68
;;;2018;Sida;97305 - Macouria;0,00
;;;2018;Alzheimer;97306 - Mana;0,00
;;;2018;Asthme;97306 - Mana;0,00
;;;2018;Cancer de la prostate;97306 - Mana;214,55
;;;2018;Cancer de la trachée, des bronches et du poumon;97306 - Mana;0,00
;;;2018;Cancer du côlon-rectum;97306 - Mana;0,00
;;;2018;Cancer du sein;97306 - Mana;0,00
;;;2018;Cardiopathies ischémiques;97306 - Mana;0,00
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97306 - Mana;643,66
;;;2018;Diabète;97306 - Mana;0,00
;;;2018;Maladie chronique du foie;97306 - Mana;0,00
;;;2018;Maladie de Parkinson;97306 - Mana;0,00
;;;2018;Maladie hypertensive;97306 - Mana;816,63
;;;2018;Maladies vasculaires cérébrales;97306 - Mana;0,00
;;;2018;Sida;97306 - Mana;0,00
;;;2018;Alzheimer;97307 - Matoury;40,81
;;;2018;Asthme;97307 - Matoury;0,00
;;;2018;Cancer de la prostate;97307 - Matoury;134,22
;;;2018;Cancer de la trachée, des bronches et du poumon;97307 - Matoury;43,97
;;;2018;Cancer du côlon-rectum;97307 - Matoury;40,81
;;;2018;Cancer du sein;97307 - Matoury;37,43
;;;2018;Cardiopathies ischémiques;97307 - Matoury;72,78
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97307 - Matoury;92,10
;;;2018;Diabète;97307 - Matoury;241,37
;;;2018;Maladie chronique du foie;97307 - Matoury;63,71
;;;2018;Maladie de Parkinson;97307 - Matoury;0,00
;;;2018;Maladie hypertensive;97307 - Matoury;325,10
