;;Date_RP#Annee;Age_personne_PrPCS#age_m15_1524_2554_5564_65plus;Sexe_personne_PrPCS#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;PCS_RP#CSP_6postes;Population_par_groupe_socioprofessionnel__totale_ou_par_âge_et_ou_genre_;;;;;;;;;;;;
;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97301 - Régina;Cadres et professions intellectuelles supérieures;14,64;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97302 - Cayenne;Cadres et professions intellectuelles supérieures;2750,19;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97303 - Iracoubo;Cadres et professions intellectuelles supérieures;19,87;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97304 - Kourou;Cadres et professions intellectuelles supérieures;1197,00;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97305 - Macouria;Cadres et professions intellectuelles supérieures;573,60;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97306 - Mana;Cadres et professions intellectuelles supérieures;223,12;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97307 - Matoury;Cadres et professions intellectuelles supérieures;1017,76;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97308 - Saint-Georges;Cadres et professions intellectuelles supérieures;36,01;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97309 - Remire-Montjoly;Cadres et professions intellectuelles supérieures;2739,20;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97310 - Roura;Cadres et professions intellectuelles supérieures;98,23;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;Cadres et professions intellectuelles supérieures;1084,17;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97312 - Sinnamary;Cadres et professions intellectuelles supérieures;65,68;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;Cadres et professions intellectuelles supérieures;125,00;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97314 - Ouanary;Cadres et professions intellectuelles supérieures;0,00;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97352 - Saül;Cadres et professions intellectuelles supérieures;0,00;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97353 - Maripasoula;Cadres et professions intellectuelles supérieures;111,60;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97356 - Camopi;Cadres et professions intellectuelles supérieures;11,06;;;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;97357 - Grand-Santi;Cadres et professions intellectuelles supérieures;14,29;;;;;;;;;;;;
