;;;Date_imposition_revenus#Annee;Type_foyer_fiscal#type_foyer_fiscal_impose;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Nombre_de_foyers_fiscaux_selon_le_type_à_partir_de_2012;;;;;;;;
;;;;;;;;;;;;;;
;;;2021;Foyers fiscaux imposés;97301 - Régina;42,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97302 - Cayenne;8120,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97303 - Iracoubo;91,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97304 - Kourou;3654,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97305 - Macouria;1907,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97306 - Mana;468,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97307 - Matoury;3849,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97308 - Saint-Georges;260,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97309 - Remire-Montjoly;6244,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97310 - Roura;351,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97311 - Saint-Laurent-du-Maroni;2947,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97312 - Sinnamary;254,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97313 - Montsinéry-Tonnegrande;301,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97314 - Ouanary;0,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97352 - Saül;16,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97353 - Maripasoula;241,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97356 - Camopi;44,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97357 - Grand-Santi;84,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97358 - Saint-Élie;0,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97360 - Apatou;97,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97361 - Awala-Yalimapo;45,00;;;;;;;;
