Date_RP#Annee;Age_personne#Age_Quinquennal_0_65_ss_moins_1_an;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Personnes_vivant_seules_à_domicile__totale_ou_par_âge_et_ou_genre_
;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97301 - Régina;24.97495412826538
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97302 - Cayenne;1936.6745223999023
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97303 - Iracoubo;45.98868370056152
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97304 - Kourou;322.7402386665344
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97305 - Macouria;228.884126663208
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97306 - Mana;99.43522262573242
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97307 - Matoury;582.4121856689453
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97308 - Saint-Georges;51.27771854400635
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97309 - Remire-Montjoly;701.7978744506836
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97310 - Roura;63.22445869445801
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97311 - Saint-Laurent-du-Maroni;305.56043815612793
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97312 - Sinnamary;93.61680221557617
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97313 - Montsinéry-Tonnegrande;70.0
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;97314 - Ouanary;0.0
