Date_RP#Annee;Age_nonScolarise#age_m15_1524_2554_5564_65plus;Sexe_nonScolarise#sexe;Diplome_lePlusEleve_RP#diplome_2015;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Nombre_de_personnes_sorties_du_systeme_scolaire_selon_le_diplôme__par_âge_et_ou_genre_
;15-24 ans§25-54 ans§55-64 ans;masculin§feminin;Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;;
2015;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97301 - Régina;287.99945402145386
2016;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97301 - Régina;278.4996099472046
2017;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97301 - Régina;269.0
2018;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97301 - Régina;265.5497856140137
2019;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97301 - Régina;261.9552960395813
2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97301 - Régina;258.6729531288147
2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97301 - Régina;453.23078441619873
2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97301 - Régina;450.25648164749146
2015;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97302 - Cayenne;13033.11734008789
