Date_RP#Annee;Age_personne#age_0_65;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
;6§7§8§9§10§11§12§13§14§15§16;masculin§feminin;;;;6§7§8§9§10§11§12§13§14§15§16;masculin§feminin;;;;6§7§8§9§10§11§12§13§14§15§16;masculin§feminin;;
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;163.84791803359985
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;12838.488220214844
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;426.8806953430176
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;5894.162460327148
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;4817.706985473633
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97306 - Mana;3250.696578979492
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97307 - Matoury;7764.265686035156
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97308 - Saint-Georges;1245.2832298278809
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97309 - Remire-Montjoly;4592.306701660156
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;608.8939666748047
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;14046.702697753906
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;727.420389175415
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;728.0
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;67.83000111579895
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;28.1842098236084
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;2138.937400817871
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;607.2477035522461
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;2668.471923828125
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;0.9997243285179138
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;2995.0
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;355.92259883880615
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;1057.985092163086
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;163.18752527236938
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;12031.23941040039
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;415.45527172088623
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;5794.625946044922
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;4668.06298828125
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97306 - Mana;3273.3851623535156
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97307 - Matoury;7785.433135986328
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97308 - Saint-Georges;1187.7057151794434
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97309 - Remire-Montjoly;4989.239822387695
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;592.7937564849854
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;14286.573364257812
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;713.0120334625244
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;768.0173797607422
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;45.07704448699951
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;25.7121901512146
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;1904.5211753845215
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;536.8050947189331
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;2761.6331329345703
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;1.0011959075927734
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;3086.908836364746
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;365.0854845046997
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;1015.0286331176758
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;158.13975381851196
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;12145.613891601562
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;404.0
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;5530.534332275391
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;4586.811492919922
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97306 - Mana;3115.6902465820312
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97307 - Matoury;7820.1168212890625
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97308 - Saint-Georges;1239.854019165039
