Date_RP#Annee;Age_personne#age_0_65;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
;6§7§8§9§10§11§12§13§14§15§16;masculin§feminin;;
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;184.2857518196106
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;178.14280939102173
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;172.0
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;169.76911878585815
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;166.70342350006104
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;163.84791803359985
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;163.18752527236938
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;158.13975381851196
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;11447.69985961914
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;11783.320526123047
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;11873.00830078125
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;12291.697235107422
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;12709.3935546875
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;12838.488220214844
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;12031.23941040039
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;12145.613891601562
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;473.49254417419434
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;460.0
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;453.3812036514282
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;446.76336574554443
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;437.88684940338135
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;426.8806953430176
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;415.45527172088623
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;404.0
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;6752.316497802734
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;6780.679901123047
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;6311.968017578125
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;6028.423599243164
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;5947.524490356445
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;5894.162460327148
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;5794.625946044922
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;5530.534332275391
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;2807.032730102539
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;3117.8712768554688
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;3483.983856201172
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;3922.024856567383
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;4019.5311584472656
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;4817.706985473633
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;4668.06298828125
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;4586.811492919922
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97306 - Mana;3055.421356201172
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97306 - Mana;3154.0
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97306 - Mana;3252.6655807495117
