;France hexagonale§Hors France hexagonale;;masculin§feminin;;;France hexagonale§Hors France hexagonale;;masculin§feminin;;;France hexagonale§Hors France hexagonale;;masculin§feminin
2020;France hexagonale;Moins d'un an;Sexe;703249.0790938139;;;;;;;;;
2020;France hexagonale;1-4 ans;Sexe;2987362.2174666524;;;;;;;;;
2020;France hexagonale;5-9 ans;Sexe;4086954.4244600236;;;;;;;;;
2020;France hexagonale;10-14 ans;Sexe;4165456.5873463005;;;;;;;;;
2020;France hexagonale;15-19 ans;Sexe;4147675.2011387497;;;;;;;;;
2020;France hexagonale;20-24 ans;Sexe;3777669.545805931;;;;;;;;;
2020;France hexagonale;25-29 ans;Sexe;3827337.5065042973;;;;;;;;;
2020;France hexagonale;30-34 ans;Sexe;4084430.3638958037;;;;;;;;;
2020;France hexagonale;35-39 ans;Sexe;4214148.560448527;;;;;;;;;
2020;France hexagonale;40-44 ans;Sexe;4191977.0328481495;;;;;;;;;
2020;France hexagonale;45-49 ans;Sexe;4485288.377932489;;;;;;;;;
2020;France hexagonale;50-54 ans;Sexe;4478866.686210036;;;;;;;;;
2020;France hexagonale;55-59 ans;Sexe;4365725.897635758;;;;;;;;;
2020;France hexagonale;60-64 ans;Sexe;4122806.4350281954;;;;;;;;;
2020;France hexagonale;65-69 ans;Sexe;3947029.235643983;;;;;;;;;
2020;France hexagonale;70-74 ans;Sexe;3260746.476550281;;;;;;;;;
2020;France hexagonale;75-79 ans;Sexe;2262678.6236358285;;;;;;;;;
2020;France hexagonale;80-84 ans;Sexe;1872174.5476435125;;;;;;;;;
2020;France hexagonale;85-89 ans;Sexe;1352050.8971371949;;;;;;;;;
2020;France hexagonale;90-94 ans;Sexe;662316.2185152471;;;;;;;;;
2020;France hexagonale;95 ans et plus;Sexe;208468.08666798472;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2021;France hexagonale;Moins d'un an;Sexe;691834.8160353303;;;;;;;;;
2021;France hexagonale;1-4 ans;Sexe;2934930.3655251563;;;;;;;;;
2021;France hexagonale;5-9 ans;Sexe;4043460.133902222;;;;;;;;;
2021;France hexagonale;10-14 ans;Sexe;4187517.9864211082;;;;;;;;;
2021;France hexagonale;15-19 ans;Sexe;4166595.28394258;;;;;;;;;
2021;France hexagonale;20-24 ans;Sexe;3822046.062902659;;;;;;;;;
2021;France hexagonale;25-29 ans;Sexe;3803097.062022999;;;;;;;;;
2021;France hexagonale;30-34 ans;Sexe;4087662.9845419824;;;;;;;;;
2021;France hexagonale;35-39 ans;Sexe;4226485.555965304;;;;;;;;;
2021;France hexagonale;40-44 ans;Sexe;4202135.043988198;;;;;;;;;
2021;France hexagonale;45-49 ans;Sexe;4428829.928041339;;;;;;;;;
2021;France hexagonale;50-54 ans;Sexe;4483151.005412757;;;;;;;;;
2021;France hexagonale;55-59 ans;Sexe;4395896.0068385005;;;;;;;;;
2021;France hexagonale;60-64 ans;Sexe;4148262.920799732;;;;;;;;;
2021;France hexagonale;65-69 ans;Sexe;3929935.7605948746;;;;;;;;;
2021;France hexagonale;70-74 ans;Sexe;3417888.6880381107;;;;;;;;;
2021;France hexagonale;75-79 ans;Sexe;2378312.2259986103;;;;;;;;;
2021;France hexagonale;80-84 ans;Sexe;1855192.1242200136;;;;;;;;;
2021;France hexagonale;85-89 ans;Sexe;1354080.7316678166;;;;;;;;;
2021;France hexagonale;90-94 ans;Sexe;675022.661452204;;;;;;;;;
2021;France hexagonale;95 ans et plus;Sexe;217655.6513606906;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2022;France hexagonale;Moins d'un an;Sexe;675093.7566308975;;;;;;;;;
2022;France hexagonale;1-4 ans;Sexe;2884814.538292885;;;;;;;;;
2022;France hexagonale;5-9 ans;Sexe;3990951.416437626;;;;;;;;;
2022;France hexagonale;10-14 ans;Sexe;4197872.183004677;;;;;;;;;
2022;France hexagonale;15-19 ans;Sexe;4181919.7421776056;;;;;;;;;
2022;France hexagonale;20-24 ans;Sexe;3872013.632736534;;;;;;;;;
2022;France hexagonale;25-29 ans;Sexe;3814268.89410758;;;;;;;;;
2022;France hexagonale;30-34 ans;Sexe;4097805.346271336;;;;;;;;;
2022;France hexagonale;35-39 ans;Sexe;4244598.698227078;;;;;;;;;
2022;France hexagonale;40-44 ans;Sexe;4247930.078261793;;;;;;;;;
2022;France hexagonale;45-49 ans;Sexe;4359245.411796808;;;;;;;;;
2022;France hexagonale;50-54 ans;Sexe;4499544.171443701;;;;;;;;;
2022;France hexagonale;55-59 ans;Sexe;4424059.665441275;;;;;;;;;
2022;France hexagonale;60-64 ans;Sexe;4186276.4194875956;;;;;;;;;
2022;France hexagonale;65-69 ans;Sexe;3934311.277140856;;;;;;;;;
2022;France hexagonale;70-74 ans;Sexe;3534528.042257756;;;;;;;;;
2022;France hexagonale;75-79 ans;Sexe;2541356.2178471982;;;;;;;;;
