Date_RP#Annee;Lieu_domicile#France_hexagonale;Age_personne#age_quinquenal_0_95;Sexe_personne#sexe;Population__totale_ou_par_âge_et_ou_genre_
;France hexagonale§Hors France hexagonale;;;;;France hexagonale§Hors France hexagonale;;;;;France hexagonale§Hors France hexagonale;;;
2020;France hexagonale;1-4 ans;feminin;1463016.3420300484
2020;France hexagonale;1-4 ans;masculin;1524345.875436604
2020;France hexagonale;10-14 ans;feminin;2034413.1343414634
2020;France hexagonale;10-14 ans;masculin;2131043.453004837
2020;France hexagonale;15-19 ans;feminin;2017311.5883377045
2020;France hexagonale;15-19 ans;masculin;2130363.612801045
2020;France hexagonale;20-24 ans;feminin;1860284.2150330544
2020;France hexagonale;20-24 ans;masculin;1917385.3307728767
2020;France hexagonale;25-29 ans;feminin;1933165.2674290538
2020;France hexagonale;25-29 ans;masculin;1894172.2390752435
2020;France hexagonale;30-34 ans;feminin;2091331.8642878234
2020;France hexagonale;30-34 ans;masculin;1993098.4996079803
2020;France hexagonale;35-39 ans;feminin;2152123.9531469345
2020;France hexagonale;35-39 ans;masculin;2062024.6073015928
2020;France hexagonale;40-44 ans;feminin;2125393.444472015
2020;France hexagonale;40-44 ans;masculin;2066583.5883761346
2020;France hexagonale;45-49 ans;feminin;2267983.337777853
2020;France hexagonale;45-49 ans;masculin;2217305.040154636
2020;France hexagonale;5-9 ans;feminin;1997374.9520596862
2020;France hexagonale;5-9 ans;masculin;2089579.4724003375
2020;France hexagonale;50-54 ans;feminin;2280569.0782998204
2020;France hexagonale;50-54 ans;masculin;2198297.607910216
2020;France hexagonale;55-59 ans;feminin;2245935.5592433214
2020;France hexagonale;55-59 ans;masculin;2119790.3383924365
2020;France hexagonale;60-64 ans;feminin;2155355.6144839525
2020;France hexagonale;60-64 ans;masculin;1967450.8205442429
2020;France hexagonale;65-69 ans;feminin;2087945.739837408
2020;France hexagonale;65-69 ans;masculin;1859083.4958065748
2020;France hexagonale;70-74 ans;feminin;1750537.6537168622
2020;France hexagonale;70-74 ans;masculin;1510208.8228334188
2020;France hexagonale;75-79 ans;feminin;1260440.017532438
2020;France hexagonale;75-79 ans;masculin;1002238.6061033905
2020;France hexagonale;80-84 ans;feminin;1111334.8930917978
2020;France hexagonale;80-84 ans;masculin;760839.6545517147
2020;France hexagonale;85-89 ans;feminin;877115.1260072887
2020;France hexagonale;85-89 ans;masculin;474935.7711299062
2020;France hexagonale;90-94 ans;feminin;474883.7014183104
2020;France hexagonale;90-94 ans;masculin;187432.5170969367
2020;France hexagonale;95 ans et plus;feminin;165285.13058781624
2020;France hexagonale;95 ans et plus;masculin;43182.956080168486
2020;France hexagonale;Moins d'un an;feminin;343530.58128780127
2020;France hexagonale;Moins d'un an;masculin;359718.49780601263
2021;France hexagonale;1-4 ans;feminin;1437002.3252283633
2021;France hexagonale;1-4 ans;masculin;1497928.040296793
2021;France hexagonale;10-14 ans;feminin;2045264.4740092754
2021;France hexagonale;10-14 ans;masculin;2142253.512411833
2021;France hexagonale;15-19 ans;feminin;2024042.0275265872
2021;France hexagonale;15-19 ans;masculin;2142553.256415993
2021;France hexagonale;20-24 ans;feminin;1878310.2307119966
2021;France hexagonale;20-24 ans;masculin;1943735.8321906626
2021;France hexagonale;25-29 ans;feminin;1917433.690321818
2021;France hexagonale;25-29 ans;masculin;1885663.371701181
2021;France hexagonale;30-34 ans;feminin;2089308.287781179
2021;France hexagonale;30-34 ans;masculin;1998354.6967608035
2021;France hexagonale;35-39 ans;feminin;2161530.4697603285
2021;France hexagonale;35-39 ans;masculin;2064955.0862049758
2021;France hexagonale;40-44 ans;feminin;2135478.437069595
2021;France hexagonale;40-44 ans;masculin;2066656.6069186032
2021;France hexagonale;45-49 ans;feminin;2238464.230457127
2021;France hexagonale;45-49 ans;masculin;2190365.697584212
2021;France hexagonale;5-9 ans;feminin;1977146.9061929882
2021;France hexagonale;5-9 ans;masculin;2066313.2277092338
2021;France hexagonale;50-54 ans;feminin;2280347.3424588144
2021;France hexagonale;50-54 ans;masculin;2202803.662953943
2021;France hexagonale;55-59 ans;feminin;2258743.0115022063
2021;France hexagonale;55-59 ans;masculin;2137152.995336294
2021;France hexagonale;60-64 ans;feminin;2166096.298062682
2021;France hexagonale;60-64 ans;masculin;1982166.62273705
2021;France hexagonale;65-69 ans;feminin;2082932.8026299477
