Date_RP#Annee;Lieu_domicile#Regions_France_2017;Age_personne#age_quinquenal_0_95;Sexe_personne#sexe;Population__totale_ou_par_âge_et_ou_genre__0;;;;H;F
2022;Guyane;Moins d'un an;feminin;3072.919487476349;;;;3003.942000389099;3072.919487476349
2022;Guyane;1-4 ans;feminin;12542.03930658102;;;;12985.280869781971;12542.03930658102
2022;Guyane;5-9 ans;feminin;15071.287444591522;;;;15433.096251666546;15071.287444591522
2022;Guyane;10-14 ans;feminin;15132.588227689266;;;;14833.402676701546;15132.588227689266
2022;Guyane;15-19 ans;feminin;13811.675950944424;;;;13994.757645606995;13811.675950944424
2022;Guyane;20-24 ans;feminin;10355.965934693813;;;;9497.304271161556;10355.965934693813
2022;Guyane;25-29 ans;feminin;10118.029419839382;;;;8597.968207538128;10118.029419839382
2022;Guyane;30-34 ans;feminin;10594.824406027794;;;;9001.731552660465;10594.824406027794
2022;Guyane;35-39 ans;feminin;10730.553452908993;;;;9790.073309719563;10730.553452908993
2022;Guyane;40-44 ans;feminin;9721.041371285915;;;;8697.576980292797;9721.041371285915
2022;Guyane;45-49 ans;feminin;8397.152992844582;;;;8344.408846378326;8397.152992844582
2022;Guyane;50-54 ans;feminin;7488.586248993874;;;;7038.934245288372;7488.586248993874
2022;Guyane;55-59 ans;feminin;6174.703361213207;;;;6284.40129160881;6174.703361213207
2022;Guyane;60-64 ans;feminin;4759.094820797443;;;;4741.7728098630905;4759.094820797443
2022;Guyane;65-69 ans;feminin;3545.685136795044;;;;3447.713948249817;3545.685136795044
2022;Guyane;70-74 ans;feminin;2518.469070136547;;;;2414.624206840992;2518.469070136547
2022;Guyane;75-79 ans;feminin;1541.674827337265;;;;1349.4359480142593;1541.674827337265
2022;Guyane;80-84 ans;feminin;1100.5290950536728;;;;805.8759447932243;1100.5290950536728
2022;Guyane;85-89 ans;feminin;601.801201403141;;;;335.2331194281578;601.801201403141
2022;Guyane;90-94 ans;feminin;214.07753312587738;;;;112.37853872776031;214.07753312587738
2022;Guyane;95 ans et plus;feminin;130.24407875537872;;;;49.14410173892975;130.24407875537872
;;;;;;;;;
2022;Guyane;Moins d'un an;masculin;3003.942000389099;;;;;
2022;Guyane;1-4 ans;masculin;12985.280869781971;;;;;
2022;Guyane;5-9 ans;masculin;15433.096251666546;;;;;
2022;Guyane;10-14 ans;masculin;14833.402676701546;;;;;
2022;Guyane;15-19 ans;masculin;13994.757645606995;;;;;
2022;Guyane;20-24 ans;masculin;9497.304271161556;;;;;
2022;Guyane;25-29 ans;masculin;8597.968207538128;;;;;
2022;Guyane;30-34 ans;masculin;9001.731552660465;;;;;
2022;Guyane;35-39 ans;masculin;9790.073309719563;;;;;
2022;Guyane;40-44 ans;masculin;8697.576980292797;;;;;
2022;Guyane;45-49 ans;masculin;8344.408846378326;;;;;
2022;Guyane;50-54 ans;masculin;7038.934245288372;;;;;
2022;Guyane;55-59 ans;masculin;6284.40129160881;;;;;
2022;Guyane;60-64 ans;masculin;4741.7728098630905;;;;;
2022;Guyane;65-69 ans;masculin;3447.713948249817;;;;;
2022;Guyane;70-74 ans;masculin;2414.624206840992;;;;;
2022;Guyane;75-79 ans;masculin;1349.4359480142593;;;;;
2022;Guyane;80-84 ans;masculin;805.8759447932243;;;;;
2022;Guyane;85-89 ans;masculin;335.2331194281578;;;;;
2022;Guyane;90-94 ans;masculin;112.37853872776031;;;;;
2022;Guyane;95 ans et plus;masculin;49.14410173892975;;;;;
