Date_RP#Annee;Age_personne#age_m3_35_612_1317_1824_2544_4559_6074_75ouPlus;Sexe_personne#sexe;code;insee;Lieu_domicile#Regions_France_2017;Population__totale_ou_par_âge_et_ou_genre__0
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;01;Guadeloupe;10741.521066486835;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;02;Martinique;9158.77186858654;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;03;Guyane;19002.238543391228;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;04;Réunion;34267.05384635925;
2021;;;06;Mayotte;;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;11;Île-de-France;461129.0326883197;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;24;Centre-Val de Loire;76807.16488325596;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;27;Bourgogne-Franche-Comté;78436.29335868359;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;28;Normandie;99747.20837724209;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;32;Hauts-de-France;198722.2067375183;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;44;Grand Est;163948.53077611327;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;52;Pays de la Loire;119414.11357837915;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;53;Bretagne;95103.59475976229;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;75;Nouvelle-Aquitaine;159497.60430389643;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;76;Occitanie;169401.38370352983;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;84;Auvergne-Rhône-Alpes;260046.78800666332;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;93;Provence-Alpes-Côte d'Azur;151930.31091159582;
2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;94;Corse;9436.00557154417;
