;;Date_RP#Annee;Age_personne#age_m3_35_612_1317_1824_2544_4559_6074_75ouPlus;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_;;;;;
;;;Moins de 3 ans;masculin§feminin;;;;Moins de 3 ans;masculin§feminin;;
;;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97301 - Régina;43,21;;;;;
;;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97302 - Cayenne;3610,31;;;;;
;;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97303 - Iracoubo;83,93;;;;;
;;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97304 - Kourou;1414,35;;;;;
;;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97305 - Macouria;1261,84;;;;;
;;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97306 - Mana;853,56;;;;;
;;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97307 - Matoury;2202,79;;;;;
;;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97308 - Saint-Georges;272,09;;;;;
;;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97309 - Remire-Montjoly;1334,77;;;;;
;;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;97310 - Roura;163,39;;;;;
