;;Date_RP#Annee;Age_personne#age_m15_1524_2529_3034_3539_40plus;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_;;;;;;;;;;
;;;15-24 ans§25-29 ans§30-34 ans§35-39 ans§40 ans et +;masculin§feminin;;;;15-24 ans§25-29 ans§30-34 ans§35-39 ans§40 ans et +;masculin§feminin;;;;15-24 ans§25-29 ans§30-34 ans§35-39 ans§40 ans et +;masculin§feminin;;
;;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97301 - Régina;616,20;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97302 - Cayenne;47641,08;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97303 - Iracoubo;1182,84;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97304 - Kourou;17112,26;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97305 - Macouria;12555,31;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97306 - Mana;7187,15;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97307 - Matoury;24113,68;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97308 - Saint-Georges;2548,95;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97309 - Remire-Montjoly;19742,39;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97310 - Roura;2621,55;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;28559,95;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97312 - Sinnamary;1960,96;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;97313 - Montsinéry-Tonnegrande;2193,00;;;;;;;;;;
