codgeo;annee;pop_6_16;nb_non_sco;pop_15_64;nb_peu_dipl
97301;2017;169.67;8.67;587.32;290.0
97302;2017;11905.24;601.41;40614.94;15556.21
97303;2017;453.05;11.5;1091.46;520.62
97304;2017;6284.46;189.25;16092.32;6340.11
97305;2017;3453.02;114.22;8831.92;3028.44
97306;2017;3237.54;95.22;6006.61;3337.17
97307;2017;7362.35;286.56;20278.62;8605.6
97308;2017;1182.67;68.0;2267.92;1499.0
97309;2017;4354.96;163.65;17427.77;5204.56
97310;2017;675.19;41.32;2613.66;1038.57
97311;2017;13001.69;502.7;22278.94;10056.98
97312;2017;740.43;24.87;1818.3;681.59
97313;2017;528.35;15.01;1727.76;651.14
97314;2017;52.33;2.33;110.08;58.0
97352;2017;27.67;0.0;101.4;26.0
97353;2017;2517.6;269.35;8751.16;6342.88
97356;2017;576.0;103.0;955.08;691.0
97357;2017;2895.73;801.76;3583.49;3075.62
97358;2017;2.0;2.0;218.71;83.64
97360;2017;2893.64;742.77;4995.07;3642.25
97361;2017;363.98;12.16;842.71;438.6
97362;2017;1348.78;131.87;4361.31;3633.37
