Date_RP#Annee;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Nombre_de_jeunes_de_6_16_ans_non_scolarises
;;
2015;97301 - Régina;6.428572654724121
2016;97301 - Régina;6.214284181594849
2017;97301 - Régina;6.0
2018;97301 - Régina;5.922178745269775
2019;97301 - Régina;5.842528462409973
2020;97301 - Régina;5.7688682079315186
2021;97301 - Régina;2.112890839576721
2022;97301 - Régina;2.0563454627990723
2015;97302 - Cayenne;404.76360273361206
2016;97302 - Cayenne;558.708083152771
2017;97302 - Cayenne;566.8296093940735
2018;97302 - Cayenne;663.8684482574463
2019;97302 - Cayenne;669.1140699386597
2020;97302 - Cayenne;602.6361865997314
2021;97302 - Cayenne;481.9447898864746
2022;97302 - Cayenne;490.56963539123535
2015;97303 - Iracoubo;9.263984084129333
2016;97303 - Iracoubo;9.0
2017;97303 - Iracoubo;8.87050187587738
2018;97303 - Iracoubo;8.741022527217865
2019;97303 - Iracoubo;8.579941213130951
2020;97303 - Iracoubo;13.5789213180542
2021;97303 - Iracoubo;13.295019507408142
2022;97303 - Iracoubo;13.0
2015;97304 - Kourou;113.78867197036743
2016;97304 - Kourou;121.69171333312988
2017;97304 - Kourou;173.55926966667175
2018;97304 - Kourou;194.2000765800476
2019;97304 - Kourou;193.15601217746735
2020;97304 - Kourou;197.60652828216553
2021;97304 - Kourou;217.89690041542053
2022;97304 - Kourou;172.65367794036865
2015;97305 - Macouria;77.63900327682495
2016;97305 - Macouria;87.59278047084808
2017;97305 - Macouria;101.44124066829681
2018;97305 - Macouria;134.15171027183533
2019;97305 - Macouria;136.26995277404785
2020;97305 - Macouria;134.6616188287735
2021;97305 - Macouria;124.08468306064606
2022;97305 - Macouria;114.10407984256744
2015;97306 - Mana;69.749631524086
2016;97306 - Mana;72.0
2017;97306 - Mana;74.25235247612
2018;97306 - Mana;76.57338643074036
2019;97306 - Mana;80.31440925598145
2020;97306 - Mana;82.92288959026337
2021;97306 - Mana;141.43990170955658
2022;97306 - Mana;125.89797687530518
2015;97307 - Matoury;236.1991481781006
2016;97307 - Matoury;262.189799785614
2017;97307 - Matoury;268.8714790344238
2018;97307 - Matoury;287.3330307006836
2019;97307 - Matoury;288.8281981945038
2020;97307 - Matoury;231.38510251045227
2021;97307 - Matoury;219.81542241573334
2022;97307 - Matoury;194.83667266368866
2015;97308 - Saint-Georges;55.45510482788086
2016;97308 - Saint-Georges;56.23444962501526
2017;97308 - Saint-Georges;57.0
2018;97308 - Saint-Georges;57.78857970237732
2019;97308 - Saint-Georges;58.66541910171509
2020;97308 - Saint-Georges;59.557637214660645
2021;97308 - Saint-Georges;81.27148598432541
2022;97308 - Saint-Georges;84.63451892137527
2015;97309 - Remire-Montjoly;107.6918785572052
2016;97309 - Remire-Montjoly;140.15794205665588
2017;97309 - Remire-Montjoly;150.65412658452988
2018;97309 - Remire-Montjoly;165.76497322320938
2019;97309 - Remire-Montjoly;166.63696545362473
2020;97309 - Remire-Montjoly;154.25035119056702
2021;97309 - Remire-Montjoly;131.10535502433777
2022;97309 - Remire-Montjoly;123.31920719146729
2015;97310 - Roura;23.170329570770264
2016;97310 - Roura;24.40689754486084
2017;97310 - Roura;38.238816410303116
2018;97310 - Roura;37.82016736268997
2019;97310 - Roura;37.390713572502136
2020;97310 - Roura;36.8127464056015
2021;97310 - Roura;36.11839747428894
2022;97310 - Roura;35.37912279367447
2015;97311 - Saint-Laurent-du-Maroni;341.57626700401306
2016;97311 - Saint-Laurent-du-Maroni;319.41806626319885
2017;97311 - Saint-Laurent-du-Maroni;385.3430185317993
2018;97311 - Saint-Laurent-du-Maroni;437.27577781677246
2019;97311 - Saint-Laurent-du-Maroni;454.28055810928345
2020;97311 - Saint-Laurent-du-Maroni;506.24582862854004
2021;97311 - Saint-Laurent-du-Maroni;569.7538747787476
2022;97311 - Saint-Laurent-du-Maroni;559.283552646637
2015;97312 - Sinnamary;25.533709406852722
2016;97312 - Sinnamary;23.3826642036438
2017;97312 - Sinnamary;23.19133222103119
2018;97312 - Sinnamary;23.0
2019;97312 - Sinnamary;22.582195937633514
2020;97312 - Sinnamary;22.165248453617096
2021;97312 - Sinnamary;21.677373707294464
2022;97312 - Sinnamary;20.892964959144592
2015;97313 - Montsinéry-Tonnegrande;11.0
2016;97313 - Montsinéry-Tonnegrande;11.253641247749329
2017;97313 - Montsinéry-Tonnegrande;11.516180992126465
2018;97313 - Montsinéry-Tonnegrande;18.53295147418976
2019;97313 - Montsinéry-Tonnegrande;19.769818902015686
2020;97313 - Montsinéry-Tonnegrande;21.0
2021;97313 - Montsinéry-Tonnegrande;22.269739389419556
2022;97313 - Montsinéry-Tonnegrande;23.619736194610596
2015;97314 - Ouanary;0.824999988079071
2016;97314 - Ouanary;0.9100000262260437
2017;97314 - Ouanary;1.0
2018;97314 - Ouanary;1.100000023841858
2019;97314 - Ouanary;1.2100000381469727
2020;97314 - Ouanary;1.3300000429153442
2021;97314 - Ouanary;1.878210186958313
2022;97314 - Ouanary;1.4355099201202393
2015;97352 - Saül;0.0
2016;97352 - Saül;0.0
2017;97352 - Saül;0.0
2018;97352 - Saül;0.0
2019;97352 - Saül;0.0
2020;97352 - Saül;0.0
2021;97352 - Saül;0.0
2022;97352 - Saül;0.0
2015;97353 - Maripasoula;209.4083285331726
2016;97353 - Maripasoula;226.0535569190979
2017;97353 - Maripasoula;256.0488543510437
2018;97353 - Maripasoula;215.44891452789307
2019;97353 - Maripasoula;216.4223871231079
2020;97353 - Maripasoula;182.37567114830017
2021;97353 - Maripasoula;119.90660083293915
2022;97353 - Maripasoula;89.03303122520447
2015;97356 - Camopi;96.04435741901398
2016;97356 - Camopi;97.02217763662338
2017;97356 - Camopi;98.0
2018;97356 - Camopi;99.57539427280426
2019;97356 - Camopi;100.83578741550446
2020;97356 - Camopi;102.09327065944672
2021;97356 - Camopi;40.58333742618561
2022;97356 - Camopi;40.30859845876694
2015;97357 - Grand-Santi;706.0
2016;97357 - Grand-Santi;752.4993515014648
2017;97357 - Grand-Santi;802.1391754150391
2018;97357 - Grand-Santi;643.2965087890625
2019;97357 - Grand-Santi;643.0055322647095
2020;97357 - Grand-Santi;649.2599029541016
2021;97357 - Grand-Santi;671.055233001709
2022;97357 - Grand-Santi;693.528697013855
2015;97358 - Saint-Élie;0.0
2016;97358 - Saint-Élie;0.5856573581695557
2017;97358 - Saint-Élie;1.0
2018;97358 - Saint-Élie;0.7918638586997986
2019;97358 - Saint-Élie;0.9981489181518555
2020;97358 - Saint-Élie;0.9997243285179138
2021;97358 - Saint-Élie;1.0011959075927734
2022;97358 - Saint-Élie;0.0
2015;97360 - Apatou;673.0
2016;97360 - Apatou;704.5306587219238
2017;97360 - Apatou;737.6578063964844
2018;97360 - Apatou;524.3104867935181
2019;97360 - Apatou;529.6831789016724
2020;97360 - Apatou;535.0
2021;97360 - Apatou;549.8426456451416
2022;97360 - Apatou;564.8166913986206
2015;97361 - Awala-Yalimapo;11.879308104515076
2016;97361 - Awala-Yalimapo;12.0
2017;97361 - Awala-Yalimapo;12.155174493789673
2018;97361 - Awala-Yalimapo;12.31896448135376
2019;97361 - Awala-Yalimapo;12.461764216423035
2020;97361 - Awala-Yalimapo;15.341400444507599
2021;97361 - Awala-Yalimapo;15.67678689956665
2022;97361 - Awala-Yalimapo;16.0
2015;97362 - Papaichton;119.40822207927704
2016;97362 - Papaichton;132.03287756443024
2017;97362 - Papaichton;121.26765823364258
2018;97362 - Papaichton;109.62500476837158
2019;97362 - Papaichton;98.0
2020;97362 - Papaichton;95.75238919258118
2021;97362 - Papaichton;93.2942785024643
2022;97362 - Papaichton;90.81379747390747

Date_RP#Annee;Lieu_domicile#Regions_France_2017;Nombre_de_jeunes_de_6_16_ans_non_scolarises_0
;;
2015;Auvergne-Rhône-Alpes;18473.18376404047
2016;Auvergne-Rhône-Alpes;20584.91542905569
2017;Auvergne-Rhône-Alpes;22926.485618263483
2018;Auvergne-Rhône-Alpes;24238.483625352383
2019;Auvergne-Rhône-Alpes;24247.12310350142
2020;Auvergne-Rhône-Alpes;26184.74785402804
2021;Auvergne-Rhône-Alpes;27173.655393723904
2022;Auvergne-Rhône-Alpes;24817.148932967517
2015;Bourgogne-Franche-Comté;6429.527166903019
2016;Bourgogne-Franche-Comté;7177.810042232275
2017;Bourgogne-Franche-Comté;7864.342586785555
2018;Bourgogne-Franche-Comté;8517.169902563095
2019;Bourgogne-Franche-Comté;8481.374467253685
2020;Bourgogne-Franche-Comté;8940.099062979221
2021;Bourgogne-Franche-Comté;9323.913532614708
2022;Bourgogne-Franche-Comté;8430.661312699318
2015;Bretagne;6495.9432317614555
2016;Bretagne;7205.68053740263
2017;Bretagne;8053.387536376715
2018;Bretagne;8425.885326743126
2019;Bretagne;8437.984079837799
2020;Bretagne;8971.107263684273
2021;Bretagne;9239.391467988491
2022;Bretagne;8422.18799573183
2015;Centre-Val de Loire;5847.171799838543
2016;Centre-Val de Loire;6612.828520566225
2017;Centre-Val de Loire;7331.796191334724
2018;Centre-Val de Loire;7875.281385302544
2019;Centre-Val de Loire;7843.294166594744
2020;Centre-Val de Loire;8694.400825679302
2021;Centre-Val de Loire;9191.734202086926
2022;Centre-Val de Loire;8463.600245445967
2015;Corse;751.5804382562637
2016;Corse;851.9535454511642
2017;Corse;910.5961663722992
2018;Corse;943.7927398085594
2019;Corse;943.6948739290237
2020;Corse;1005.4767571687698
2021;Corse;1011.9335961043835
2022;Corse;940.2087970972061
2015;Grand Est;13445.515826612711
2016;Grand Est;14861.948417246342
2017;Grand Est;16355.967250823975
2018;Grand Est;17503.81730005145
2019;Grand Est;17467.698080837727
2020;Grand Est;18513.06355214119
2021;Grand Est;19242.301616102457
2022;Grand Est;17596.50873222947
2015;Guadeloupe;1172.780411541462
2016;Guadeloupe;1192.7818543612957
2017;Guadeloupe;1234.2619842886925
2018;Guadeloupe;1299.4229553341866
2019;Guadeloupe;1266.8499875068665
2020;Guadeloupe;1422.3148938417435
2021;Guadeloupe;1409.938654243946
2022;Guadeloupe;1325.1113623976707
2015;Guyane;3298.8251199126244
2016;Guyane;3617.8846015930176
2017;Guyane;3895.0365967452526
2018;Guyane;3717.4394406080246
2019;Guyane;3744.0475819706917
2020;Guyane;3650.7442860007286
2021;Guyane;3556.024122595787
2022;Guyane;3456.1838163733482
2015;Hauts-de-France;18009.261599570513
2016;Hauts-de-France;19591.772116094828
2017;Hauts-de-France;21246.62222379446
2018;Hauts-de-France;21738.402500510216
2019;Hauts-de-France;21664.49219226837
2020;Hauts-de-France;22434.021937966347
