Date_RP#Annee;Age_personne#age_0_65;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
;1§2;masculin§feminin;;;;1§2;masculin§feminin;;;;1§2;masculin§feminin;;
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;38.05724811553955
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;2668.9649047851562
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;51.452698707580566
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;1019.0866394042969
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;838.6879119873047
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97306 - Mana;562.0026016235352
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97307 - Matoury;1490.7872009277344
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97308 - Saint-Georges;221.58269500732422
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97309 - Remire-Montjoly;828.3969573974609
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;112.65213966369629
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;3054.6952514648438
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;104.40383911132812
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;110.0
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;7.980000138282776
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;4.026315689086914
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;404.5921096801758
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;100.47585868835449
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;462.37169647216797
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;0.0
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;575.0
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;53.78726577758789
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;202.5665168762207
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;33.99099111557007
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;2464.6888427734375
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;49.719651222229004
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;969.3109741210938
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;863.7427368164062
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97306 - Mana;550.0887298583984
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97307 - Matoury;1472.68994140625
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97308 - Saint-Georges;202.96910858154297
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97309 - Remire-Montjoly;928.9362335205078
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;109.5174388885498
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;3109.498046875
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;102.31847381591797
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;116.03354072570801
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;3.756420373916626
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;4.285364985466003
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;381.38429260253906
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;98.48747634887695
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;476.4845886230469
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;0.0
