Date_RP#Annee;Age_personne#age_0_65;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
;26§27§28§29§30§31§32§33§34§35§36§37§38§39§40§41§42§43§44§45§46§47§48§49§50§51§52§53§54§55§56§57§58§59§60§61§62§63§64;masculin§feminin;;;;26§27§28§29§30§31§32§33§34§35§36§37§38§39§40§41§42§43§44§45§46§47§48§49§50§51§52§53§54§55§56§57§58§59§60§61§62§63§64;masculin§feminin;;;;26§27§28§29§30§31§32§33§34§35§36§37§38§39§40§41§42§43§44§45§46§47§48§49§50§51§52§53§54§55§56§57§58§59§60§61§62§63§64;masculin§feminin;;
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;372.1610658764839
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;30597.69549560547
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;748.6885201931
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;11386.932598114014
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;8291.587103843689
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97306 - Mana;4538.205097198486
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97307 - Matoury;15415.394653320312
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97308 - Saint-Georges;1644.7472772598267
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97309 - Remire-Montjoly;13966.226188659668
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97310 - Roura;1858.3690433502197
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;17481.066146850586
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;1273.347207069397
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;1541.0
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;119.70000314712524
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;75.49341917037964
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;4936.878181695938
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;632.1658504009247
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;3134.010087490082
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;212.84385633468628
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;3008.0
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;633.5724741816521
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;3265.676884174347
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97301 - Régina;1134.950799703598
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97302 - Cayenne;29411.75730895996
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97303 - Iracoubo;746.4214859008789
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97304 - Kourou;11384.45015335083
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97305 - Macouria;8286.206420898438
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97306 - Mana;4597.948621749878
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97307 - Matoury;15698.529090881348
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97308 - Saint-Georges;1827.0123944282532
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97309 - Remire-Montjoly;14382.9702835083
