Date_RP#Annee;Age_personne#age_m5_514_1524_2544_4564_65p;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97301 - Régina;76.74844747781754
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97302 - Cayenne;5373.399576544762
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97303 - Iracoubo;145.52847558259964
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97304 - Kourou;1288.0100083351135
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97305 - Macouria;882.7242852449417
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97306 - Mana;453.13069999217987
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97307 - Matoury;2663.6220936775208
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97308 - Saint-Georges;157.7672256231308
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97309 - Remire-Montjoly;2323.4890835881233
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97310 - Roura;287.3225131034851
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97311 - Saint-Laurent-du-Maroni;1368.4920299053192
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97312 - Sinnamary;254.35233229398727
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97313 - Montsinéry-Tonnegrande;266.0
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97314 - Ouanary;13.300000429153442
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97352 - Saül;15.098683834075928
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97353 - Maripasoula;172.14319694042206
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97356 - Camopi;36.68491613864899
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97357 - Grand-Santi;226.1633601784706
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97358 - Saint-Élie;2.748661994934082
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97360 - Apatou;243.0
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97361 - Awala-Yalimapo;91.84022307395935
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97362 - Papaichton;118.32129335403442
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97301 - Régina;74.57995843887329
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97302 - Cayenne;5578.826356649399
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97303 - Iracoubo;148.7334058880806
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97304 - Kourou;1329.3236713409424
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97305 - Macouria;942.842477440834
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97306 - Mana;446.22417867183685
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97307 - Matoury;2734.7557957172394
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97308 - Saint-Georges;224.488820374012
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97309 - Remire-Montjoly;2414.965517669916
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97310 - Roura;293.3510392308235
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97311 - Saint-Laurent-du-Maroni;1472.7153504490852
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97312 - Sinnamary;257.1571995615959
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97313 - Montsinéry-Tonnegrande;276.24356150627136
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97314 - Ouanary;18.78210186958313
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97352 - Saül;21.426825046539307
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97353 - Maripasoula;179.53682190179825
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97356 - Camopi;43.09892010688782
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97357 - Grand-Santi;231.32403832674026
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97358 - Saint-Élie;2.6312922835350037
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97360 - Apatou;242.9520093202591
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97361 - Awala-Yalimapo;93.44926905632019
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97362 - Papaichton;121.81163913011551
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97301 - Régina;74.8100700378418
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97302 - Cayenne;5836.521109819412
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97303 - Iracoubo;152.0
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97304 - Kourou;1502.1163985729218
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97305 - Macouria;1033.2189252376556
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97306 - Mana;463.05305433273315
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97307 - Matoury;2792.9348101615906
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97308 - Saint-Georges;235.74341315031052
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97309 - Remire-Montjoly;2498.5456829071045
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97310 - Roura;299.55614000558853
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97311 - Saint-Laurent-du-Maroni;1693.4708909392357
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97312 - Sinnamary;314.37034100294113
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97313 - Montsinéry-Tonnegrande;286.91149151325226
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97314 - Ouanary;14.355099201202393
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97352 - Saül;18.212583541870117
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97353 - Maripasoula;197.29145455360413
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97356 - Camopi;47.96060645580292
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97357 - Grand-Santi;236.68667310476303
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97358 - Saint-Élie;5.772054076194763
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97360 - Apatou;242.94172394275665
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97361 - Awala-Yalimapo;95.0
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;97362 - Papaichton;125.4142278432846

Date_RP#Annee;Age_personne#age_m5_514_1524_2544_4564_65p;Sexe_personne#sexe;Lieu_domicile#Regions_France_2017;Population__totale_ou_par_âge_et_ou_genre__0
;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Auvergne-Rhône-Alpes;1616621.9130479395
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Bourgogne-Franche-Comté;651560.7680478394
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Bretagne;759156.594187051
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Centre-Val de Loire;583604.895495534
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Corse;81832.59639149904
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Grand Est;1129706.2055470645
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Guadeloupe;76714.78217214346
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Guyane;16459.88710731268
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Hauts-de-France;1092028.7809594274
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Martinique;77358.27743542194
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Normandie;721408.1580120623
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Nouvelle-Aquitaine;1454005.3229393363
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Occitanie;1363332.5908726454
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Pays de la Loire;796869.3006904721
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Provence-Alpes-Côte d'Azur;1184028.8084033728
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Réunion;106784.62543028593
2020;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Île-de-France;1849956.666792184
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Auvergne-Rhône-Alpes;1645409.889017254
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Bourgogne-Franche-Comté;662539.0478684604
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Bretagne;777531.8986311257
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Centre-Val de Loire;592394.056304425
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Corse;83937.83994317055
