Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202000000453;2;0001;0;;1;2;2;1;3;600;1;; -1;1;0;5;90
202000000454;3;0017;0;;2;1;0;1;0;300;1;; -1;1;0;1;500
202000000455;4;LIBERTE (AVENUE DE LA);0;;1;1;0;1;0;0;1;; -1;1;0;1;50
202000000639;3;0003;0;;2;2;0;1;4;600;1;; -1;1;0;1;50
202000000640;3;0002;0;;2;2;0;1;5;500;1;; -1;1;0;1;50
202000000833;3;0017;0;;2;2;0;1;1;750;1;; -1;1;0;6;50
202000000834;4;Place heder;0;;1;2;0;1;(1);(1);1;; -1;1;9;1;50
202000000847;4;ZONE COLLERY I ;0;;2;1;0;1;(1);(1);1;; -1;1;0;1;50
202000000848;2;0001;0;;1;1;0;1;3;0;3;; -1;1;0;1;50
202000000854;3;0001;0;;3;2;0;1;2;200;1;; -1;1;5;1;50
202000000855;4;Avenue des flamboyants;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000001539;4;Rue des kikiwis;0;;2;2;0;2;(1);(1);3;; -1;1;0;1;50
202000001544;2;1;0;;2;2;0;1;36;800;3;; -1;1;0;1;80
202000001545;2;1; -1;;2;2;0;1;11;800;1;; -1;1;0;3;80
202000001579;3;0002;0;;2;2;0;1;0;900;1;; -1;1;0;1;2
202000002076;2;2;0;;2;2;0;1;7;800;1;; -1;1;0;1;80
202000002210;9;route d'Apatou;0;;2;2;0;2;10;500;1;; -1;1;0;1;80
202000002212;4;Avenue de Pariacabo; -1;;2;2;0;1;(1);(1);1;; -1;1;9;1;70
202000002470;4;Barrage du petit saut;0;;2;2;0;2;(1);(1);2;; -1;1;0;1;80
202000002601;4;RABAN (ROUTE DE);0;;2;1;0;1;(1);(1);1;; -1;1;0;1;50
202000002602;3;0018;0;;2;2;0;1;3;200;1;; -1;1;0;1;50
202000002772;3;0017;0;;2;1;0;1;0;800;1;; -1;1;0;1;50
202000002870;4;REPUBLIQUE (BD DE LA);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000002960;3;0017;0;;1;0;0;1;1;750;1;; -1;1;0;1;50
202000002961;3;0018;0;;2;2;0;1;1;900;1;; -1;1;0;1;50
202000003691;4;Rue georges gueril; -1;;2;2;0;1;(1);(1);2;; -1;1;0;8;50
202000004022;4;Rue René Jadfard;0;;2;0;0;1;(1);(1);1;; -1;1;0;1;50
202000004049;4;MANGUES (RUE DES - CITE MANGUIERS);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202000004220;2;1;0;;2;2;0;1;17;975;1;; -1;1;0;1;80
202000004493;3;0017;0;;2;2;0;1;2;800;1;; -1;1;0;1;50
202000004494;4;BARTHELEMY (RENE);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000004495;3;0017;0;;2;2;0;1;0;700;1;; -1;1;9;1;50
202000004496;4;MERE THERESA (rue);0;; -1;1;0;1;(1);(1);1;; -1;1;0;4;50
202000004739;3;0003;0;;2;2;1;1;3;100;1;; -1;1;9;1;50
202000004740;2;0001;0;;1;2;0;1;0;500;2;; -1;1;0;1;90
202000004741;3;0017;0;;2;2;0;1;2;0;1;; -1;1;0;1;50
202000005099;3;0003;0;;2;1;0;1;4;0;1;; -1;1;0;1;50
202000005100;3;0003;0;;2;2;1;1;3;0;1;; -1;1;0;1;50
202000005183;4;RABAN (ROUTE DE);0;;2;2;0;1;(1);(1);2;; -1;1;0;1;50
202000005184;3;2;0;;2;2;1;1;1;50;1;; -1;1;0;1;50
202000005185;3;0002;0;;2;2;0;1;0;500;1;; -1;1;0;1;50
202000005307;4;Rue Lucien Vochel;0;;2;2;0;1;(1);(1);1;; -1;9;0;1;50
202000005420;3;0001;0;;2;2;0;1;2;500;1;; -1;1;0;1;70
202000005421;9;ZONE COLLERY I OU II;0;;2;2;0;1;(1);(1);1;; -1;2;0;3;80
202000005481;4;ESTREES (AVENUE D');0;;2;1;0;1;(1);(1);1;; -1;2;9;1;30
202000005629;3;0002;0;;2;0;1;1;0;200;1;; -1;1;9;1;50
202000005759;4;REPUBLIQUE (BD DE LA);0;;2;1;0;1;(1);(1);1;; -1;1;9;1;50
202000005908;4;Rue du Champ de Canne;0;;2;2;0;2;(1);(1);1;; -1;9;0;1;50
202000005976;3;00017;0;;1;2;0;1;0;200;1;; -1;1;0;1;50
202000006125;2;1;0;;2;2;0;1;16;300;1;; -1;1;0;1;80
202000006217;4;route de Raban;0;;2;0;0;1;(1);(1);1;; -1;1;0;1;50
202000006597;3;0011; -1;;2;2;2;1;0;800;1;; -1;1;0;1;50
202000006620;4;MALOUET;0;;1;1;0;1;(1);(1);1;; -1;1;0;1;50
202000006723;4;ARAGO (FRANCOIS);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000006724;4;FLAMBOYANTS (RUE DES);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000006725;3;0002;0;;2;2;2;1;0;200;1;; -1;2;0;1;50
202000006841;4;Avenue Galmot;0;;2;0;0;1;(1);(1);1;; -1;1;0;1;50
202000006842;4;Cité BONHOMME;0;;2;0;0;1;(1);(1);1;; -1;1;9;1;50
202000006843;2;1;0;;3;4;1;1;3;200;1;; -1;1;0;1;90
202000007009;3;0017;0;;2;2;0;1;3;0;1;; -1;1;0;1;50
202000007010;2;0001;0;;1;2;0;1;0;50;1;; -1;1;0;1;80
202000007137;2;0001;0;;1;1;0;1;2;500;1;; -1;2;0;1;50
202000007716;4;Rue passiflore;0;;2;2;0;1;(1);(1);1;; -1;2;0;1;50
202000007727;2;2; -1;;2;2;0;1;18;800;2;; -1;1;0;8; -1
202000007905;3;0002;0;;2;2;0;1;0;200;1;; -1;1;0;1;50
202000008114;4;route  DE RABAN;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000008289;4;AMUSANT (PAUL);0;;1;1;0;1;(1);(1);1;; -1;1;0;1;50
202000008358;4;rue des Zignias; -1;;2;2;0;1;(1);(1);4;; -1;1;0;1;50
202000008388;4;PREVOT (ERNEST);0;;1;2;0;1;(1);(1);1;; -1;1;0;1;50
202000008467;4;Avenue des frères kennedy; -1;;2;2;1;1;(1);(1);1;; -1;1;0;1;50
202000008571;3;0006; -1;;2;2;0;2;3;850;1;; -1;1;0;3;50
202000008594;2;0001;0;;1;2;2;1;4;500;1;; -1;1;9;1;50
202000008595;3;0003;0;;2;4;2;1;4;300;1;; -1;1;9;1;50
202000008712;4;rue EUGENE GOBERT;0;;2;2;0;1;(1);(1);1;; -1;2;0;1;50
202000009067;3;0002;0;;2;2;0;1;2;0;4;; -1;2;0;8;50
202000009243;4;37 rue des frères;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000009340;2;0001; -1;;2;2;0;1;24;500;1;; -1;1;0;3;80
202000009512;2;1;0;;1;2;2;1;4;50;1;; -1;1;0;1;70
202000009954;4;23 route chute de Voltaire;0;; -1;2;0;1;(1);(1);1;; -1;1;0;1;50
202000010007;4;BRASSE (LIEUTENANT);0;;2;1;0;1;0;0;1;; -1;1;0;1;50
202000010008;3;0001;0;;2;2;2;1;1;200;1;; -1;1;0;1;50
202000010009;3;0003;0;;2;2;2;1;1;500;1;; -1;1;0;1;50
202000010022;4;Avenue de pariacabo; -1;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000010236;4;MALOUET;0;;1;1;0;1;(1);(1);1;; -1;1;0;1;50
202000010346;4;RABAN (ROUTE DE);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000010442;2;0001;0;;1;1;0;1;3;0;3;; -1;2;3;1;30
202000010494;2;1; -1;;2;2;0;2;79;0;1;; -1;1;0;3;80
202000010517;4;TROUBIRAN (CHEMIN DE);0;;2;2;0;1;(1);(1);1;; -1;2;0;8;50
202000010779;3;0018;0;;2;1;1;1;1;0;1;; -1;2;0;1;50
202000010780;3;0017;0;;2;1;0;1;1;750;1;; -1;2;0;1;50
202000011038;4;; -1;; -1; -1; -1; -1;(1);(1); -1;; -1; -1; -1;8; -1
202000011039;4;Rue du citron vert; -1;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000011208;3;0001;0;;2;2;2;1;3;900;2;; -1;1;0;1;50
202000011480;3;2; -1;;2;2;0;1;10;300;1;; -1;1;0;1;70
202000011536;9;route du fleuve; -1;;2;2;0;2;(1);(1);1;; -1;1;0;1;80
202000011636;4;Rue justin catayee;0;;2;1;0;1;(1);(1);1;; -1;1;0;1;50
202000011941;4;Rue paul Cupidon;0;;2;2;0;1;(1);(1);1;; -1;2;0;1;50
202000012253;4;MERE THERESA (rue);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000012254;3;0002;0;;2;2;2;1;1;600;3;; -1;1;5;1;50
202000012309;2;1;0;;2;2;0;1;44;800;1;; -1;2;0;1;80
202000012327;2;ROUTE NATIONALE 1;0;;2;4;0;1;2;99;1;; -1;2;0;8;90
202000012345;3;0002;0;;2;2;0;1;1;399;2;; -1;2;5;1;50
202000012346;3;0001;0;;2;2;0;3;4;500;1;; -1;1;5;1;50
202000012347;3;0001;0;;2;2;1;1;3;0;3;; -1;1;0;1;50
202000012493;3;0001;0;;2;2;0;1;3;100;1;; -1;1;6;1;50
202000012494;2;0001;0;;1;1;0;1;2;900;1;; -1;2;0;1;50
202000012832;4;TROUBIRAN (CHEMIN DE);0;;2;1;0;1;(1);(1);1;; -1;2;0;1;50
202000012993;4;Rue Cyprien Gildon; -1;;2;2;0;3;(1);(1);1;; -1;1;0;1;50
202000012995;3;1; -1;;2;2;0;1;7;50;1;; -1;1;0;1; -1
202000012997;3;1; -1;;2;2;0;1;5;600;1;; -1;1;0;1;50
202000013013;3;0001; -1;;2;2;3;1;6;900;1;; -1;2;0;2;50
202000013026;3;0009; -1;;2;2;0;1;0;390;1;; -1;2;0;1;80
202000013032;2;1; -1;;2;2;0;1;166;800;1;; -1;1;0;3;80
202000013036;4;44 rue Magne Marcel;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000013216;3;2;0;;2;2;2;1;10;100;1;; -1;1;0;1;70
202000013263;3;0001;0;;2;4;2;1;2;50;1;; -1;1;0;1;50
202000013264;4;Route de Raban;0;;2;2;0;1;(1);(1);1;; -1;1;0;3;50
202000013265;3;0002;0;; -1;2;0;1;1;400;1;; -1;1;0;1;50
202000013420;4;route de Saint Maurice;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000013421;9;Route de Saint Jean; -1;;2;2;0;1;(1);(1);2;; -1;1;0;1;80
202000013465;3;0018;0;;2;2;0;1;3;0;1;; -1;1;0;4;50
202000013466;3;0024;0;;2;1;0;1;0;500;1;; -1;1;0;1;50
202000013664;3;0003;0;;2;1;0;1;2;200;1;; -1;1;0;8;50
202000013900;3;0025; -1;;2; -1; -1;1;9;500;1;; -1;1;0;1; -1
202000013902;4;Rue roger desnoyers; -1;;2;2;0;2;(1);(1);1;; -1;1;0;3;50
202000013906;2;1;0;;2;2;0;1;154;0;1;; -1;1;0;3;80
202000013944;2;0001;0;;1;2;0;1;1;0;2;; -1;1;0;8;50
202000014124;3;0017;0;;2;2;0;1;2;750;1;; -1;1;0;1;50
202000014125;4;TECLE (EUGENE) CITE THEMIRE;0;;1;2;0;1;0;0;1;; -1;1;0;1;50
202000014234;4;rue du village Pierre;0;;2;2;0;1;(1);(1);3;; -1;1;0;3;50
202000014329;3;0002; -1;;2;2;0;1;7;500;1;; -1;1;0;1;50
202000014333;4;35 avenue Pripri Soula; -1;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000014360;3;0001;0;;2;2;0;1;1;700;1;; -1;4;9;1;50
202000014361;2;0001;0;;1;1;0;1;4;50;1;; -1;1;0;1;70
202000014504;4;route de raban;0;;2;1;0;1;(1);(1);1;; -1;1;0;1;50
202000015210;2;0001;0;;3;1;0;1;0;500;1;; -1;1;0;1;50
202000015383;3;0024;0;;1;1;0;1;1;0;1;; -1;1;0;1;50
202000015384;4;Rue Justin Catayee;0;;1;1;0;1;(1);(1);2;; -1;1;9;1;50
202000015512;4;Boulevard immortels;0;;1;1;0;1;(1);(1);1;; -1;1;9;1;30
202000015765;3;0003;0;;2;2;0;1;3;400;1;; -1;1;0;1;50
202000015766;9;CATAYEE (JUSTIN);0;;1;1;0;1;0;0;1;; -1;1;9;4;50
202000015815;4;CATAYEE (JUSTIN);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000015816;4;RABAN (ROUTE DE);0;;2;2;0;1;(1);(1);1;; -1;1;0;3;50
202000015965;3;0024;0;A;2;2;0;1;4;500;1;; -1;1;0;1;80
202000015998;4;14 ET 22 JUIN 1962;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000015999;4;CESAIRE (CITE);0;;2;2;0;1;0;0;1;; -1;1;2;1;50
