Num_Acc;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202000000453;154 741 475;LA01;3;2;4;1;1975;0;1;8; -1; -1; -1; -1
202000000453;154 741 475;LA01;1;1;1;2;2000;0;1;8; -1; -1; -1; -1
202000000453;154 741 476;CB01;1;1;1;1;1977; -1;2; -1; -1; -1; -1; -1
202000000454;154 741 473;B01;1;1;1;1;1978;4;1;0; -1; -1; -1; -1
202000000454;154 741 474;A01;1;1;4;1;1986;9;2;0; -1; -1; -1; -1
202000000455;154 741 472;AA01;1;1;1;1;1980;5;8;8; -1; -1; -1; -1
202000000455;154 741 472;AA01;10;3;4;2;2000;5;0; -1; -1;3;3;1
202000000639;154 741 131;A01;1;1;1;1;1982;0;1;8; -1; -1; -1; -1
202000000639;154 741 132;B01;1;1;4;1;2005;0;8;0; -1; -1; -1; -1
202000000640;154 741 129;A01;1;1;4;1;1986;0;2;8; -1; -1; -1; -1
202000000640;154 741 130;B01;1;1;1;1;1998;0;1;8; -1; -1; -1; -1
202000000833;154 740 797;A01;1;1;1;1;1988;1;1;8; -1; -1; -1; -1
202000000833;154 740 798;B01;1;1;3;1;2009;2;2;8; -1; -1; -1; -1
202000000834;154 740 796;A01;1;1;4;2;1948;9;1;8; -1; -1; -1; -1
202000000834;154 740 796;A01;2;2;1;1;1950;9;1;8; -1; -1; -1; -1
202000000847;154 740 777;A01;1;1;4;1;1964;0;8;0; -1; -1; -1; -1
202000000848;154 740 775;B01;1;1;4;2;1997;0;1;0; -1; -1; -1; -1
202000000848;154 740 776;A01;1;1;4;1;1951;0;2;0; -1; -1; -1; -1
202000000854;154 740 767;A01;2;2;4;1;1981;5;8;8; -1; -1; -1; -1
202000000854;154 740 767;A01;1;1;4;2;1987;5;8;8; -1; -1; -1; -1
202000000855;154 740 765;A01;1;1;1;2;1973;1;1;0; -1; -1; -1; -1
202000000855;154 740 766;B01;1;1;3;1;2000;1;2;0; -1; -1; -1; -1
202000001539;154 739 554;B01;1;1;3;2;2005;5;0; -1; -1;0;0; -1
202000001539;154 739 555;A01;1;1;1;2;1999;0;1; -1; -1;0;0; -1
202000001544;154 739 544;C01;1;1;2;2;1991;5;1; -1; -1;0;0; -1
202000001544;154 739 545;B01;9;2;2;2;1997;0;1; -1; -1;0;0; -1
202000001544;154 739 545;B01;2;2;2;2;1992;5;1; -1; -1;0;0; -1
202000001544;154 739 545;B01;1;1;2;1;1987;5;1; -1; -1;0;0; -1
202000001544;154 739 546;A01;1;1;1;1;1991;4;1; -1; -1;0;0; -1
202000001545;154 739 541;A01;1;1;2;1;1997;9;0; -1; -1;0;0; -1
202000001545;154 739 541;A01;10;3;1;1;2000;0;0; -1; -1;6;A; -1
202000001545;154 739 542;B01;1;1;4;1;1997;5;0; -1; -1;0;0; -1
202000001545;154 739 543;D01;1;1;4;1;2004;0;0; -1; -1;0;0; -1
202000001579;154 739 480;A01;1;1;1;1;1990;9;1;8; -1; -1; -1; -1
202000001579;154 739 481;B01;1;1;4;1;2001;9;2;0; -1; -1; -1; -1
202000002076;154 738 584;B01;2;2;2;2;2001;0;8; -1; -1;0;0; -1
202000002076;154 738 584;B01;1;1;2;1;1995;0;8; -1; -1;0;0; -1
202000002076;154 738 585;A01;1;1;1;1;1986;0;8; -1; -1;0;0; -1
202000002210;154 738 359;E01;7;2;1;1;1992;5;0; -1; -1;0;0; -1
202000002210;154 738 359;E01;1;1;1;1;1995;5;0; -1; -1;0;0; -1
202000002210;154 738 359;E01;2;2;1;1;1991;5;0; -1; -1;0;0; -1
202000002210;154 738 361;D01;1;1;1;2;1996;5;1;5; -1;0;0; -1
202000002210;154 738 362;C01;1;1;4;2;2000;5;0; -1; -1;0;0; -1
202000002210;154 738 363;B01;9;2;1;2;2014;5;0; -1; -1;0;0; -1
202000002210;154 738 363;B01;8;2;4;1;2013;5;0; -1; -1;0;0; -1
202000002210;154 738 363;B01;1;1;1;1;1992;5;1;5; -1;0;0; -1
202000002210;154 738 363;B01;7;2;1;1;2016;5;0; -1; -1;0;0; -1
202000002210;154 738 364;A01;2;2;1;1;2001;5;5;1; -1;0;0; -1
202000002210;154 738 364;A01;9;2;1;1;2003;5;1; -1; -1;0;0; -1
202000002210;154 738 364;A01;1;1;1;1;1996;5;1;5; -1;0;0; -1
202000002210;154 738 364;A01;8;2;4;2;2001;5;0; -1; -1;0;0; -1
202000002212;154 738 355;A01;2;2;3;2;1982;5;8; -1; -1;0;0; -1
202000002212;154 738 355;A01;7;2;3;1;1973;5;8; -1; -1;0;0; -1
202000002212;154 738 355;A01;1;1;3;1;1959;5;8; -1; -1;0;0; -1
202000002212;154 738 357;B01;1;1;3;1;1982;5;8; -1; -1;0;0; -1
202000002470;154 737 896;A01;1;1;3;2;1993;5;2;6;9;0;0; -1
202000002601;154 737 675;B01;1;1;1;2;1977;9;2;0; -1; -1; -1; -1
202000002601;154 737 676;A01;1;1;4;1;1992;0;1;0; -1; -1; -1; -1
202000002602;154 737 673;B01;1;1;4;1;2004;2;8;0; -1; -1; -1; -1
202000002602;154 737 674;A01;1;1;1;1;1954;0;1;8; -1; -1; -1; -1
202000002772;154 737 386;A01;1;1;4;1;1999;0;2;0; -1; -1; -1; -1
202000002772;154 737 386;A01;3;2;4;1;1983;0;2;0; -1; -1; -1; -1
202000002870;154 737 222;A01;1;1;4;1;2002;0;2;0; -1; -1; -1; -1
202000002870;154 737 223;B01;1;1;1;1;1974;0;1;0; -1; -1; -1; -1
202000002960;154 737 069;B01;1;1;4;1;1955;0;1;0; -1; -1; -1; -1
202000002960;154 737 070;A01;1;1;1;1;1998;0;1;0; -1; -1; -1; -1
202000002961;154 737 067;B01;1;1;1;1;1953;0;1;8; -1; -1; -1; -1
202000002961;154 737 068;A01;1;1;4;1;2003;0;2;8; -1; -1; -1; -1
202000003691;154 735 754;A01;1;1;3;1;1975;1;2; -1; -1;0;0; -1
202000004022;154 735 162;B01;5;2;1;1;1989;9;2;8; -1; -1; -1; -1
202000004022;154 735 162;B01;1;1;4;2;1991;9;2;8; -1; -1; -1; -1
