Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202100000305;266 801;201 174;A01;10;3;2;1;1952;5;0; -1; -1;1;3;1
202100000305;266 802;201 174;A01;1;1;1;1;1958;5;8;8; -1; -1; -1; -1
202100000451;266 442;200 899;B01;1;1;1;1;1981;5;1; -1; -1;0;0; -1
202100000451;266 443;200 900;A01;1;1;3;1;1954;1;0; -1; -1;0;0; -1
202100000655;265 961;200 540;A01;1;1;4;2;1970;9;2;8; -1; -1; -1; -1
202100000655;265 962;200 541;B01;1;1;4;1;1997;0;2;8; -1; -1; -1; -1
202100000741;265 735;200 391;B01;1;1;4;2;1976;0;2;0; -1; -1; -1; -1
202100000741;265 736;200 392;A01;2;2;1;2;1974;0;8;0; -1; -1; -1; -1
202100000741;265 737;200 392;A01;1;1;1;2;1965;0;8;0; -1; -1; -1; -1
202100000742;265 733;200 389;A01;1;1;1;1;1971;9;1;8; -1; -1; -1; -1
202100000742;265 734;200 390;B01;1;1;4;1;2009;9;8;0; -1; -1; -1; -1
202100000804;265 590;200 281;A01;1;1;4;1;1992;5;8; -1; -1;0;0; -1
202100000804;265 591;200 281;A01;2;2;4;1;1963;5;8; -1; -1;0;0; -1
202100000840;265 498;200 228;B01;1;1;4;1;1997;0;2;8; -1; -1; -1; -1
202100000840;265 499;200 229;A01;1;1;1;2;1995;1;1;8; -1; -1; -1; -1
202100000931;265 279;200 085;B01;2;2;3;1;1994;0;8; -1; -1;0;0; -1
202100000931;265 280;200 085;B01;1;1;3;1;1970;0;8; -1; -1;0;0; -1
202100000933;265 275;200 082;B01;1;1;1; -1;; -1; -1; -1; -1; -1; -1; -1
202100000933;265 276;200 083;A01;1;1;4;1;1958;5;1; -1; -1;0;0; -1
202100000933;265 277;200 083;A01;2;2;1;1;1980;9;1; -1; -1;0;0; -1
202100000934;265 271;200 079;B01;1;1;4;1;2003;5;0; -1; -1;0;0; -1
202100000934;265 272;200 080;A01;1;1;1;1;1998;5;1; -1; -1;0;0; -1
202100000935;265 267;200 078;A01;1;1;1;1;2001;5;1; -1; -1;0;0; -1
202100000935;265 268;200 078;A01;7;2;2;1;1983;5;1; -1; -1;0;0; -1
202100000935;265 269;200 078;A01;2;2;3;1;1984;5;1; -1; -1;0;0; -1
202100000935;265 270;200 078;A01;9;2;1;1;1992;5;1; -1; -1;0;0; -1
202100000966;265 192;200 027;A01;1;1;1;2;1983;0;1;0; -1; -1; -1; -1
202100000966;265 193;200 028;B01;1;1;4;1;1981;0;2;0; -1; -1; -1; -1
202100001153;264 743;199 711;A01;3;2;4;2;2007;5;1;0; -1; -1; -1; -1
202100001153;264 744;199 711;A01;1;1;1;1;1993;5;1;0; -1; -1; -1; -1
202100001153;264 745;199 712;B01;1;1;4;1;1978;5;1;0; -1; -1; -1; -1
202100001154;264 739;199 709;B01;1;1;1;1;1996;9;1;8; -1; -1; -1; -1
202100001154;264 740;199 710;A01;10;3;3;1;2002;9;0; -1; -1;6;1;2
202100001154;264 741;199 710;A01;10;3;4;2;2004;9;0; -1; -1;6;1;2
202100001154;264 742;199 710;A01;1;1;1;1;1988;9;8;0; -1; -1; -1; -1
202100001155;264 736;199 707;A01;2;2;4;1;2004;0;2;0; -1; -1; -1; -1
202100001155;264 737;199 707;A01;1;1;4;1;2003;0;2; -1; -1; -1; -1; -1
202100001155;264 738;199 708;Z01;1;1;1; -1;; -1; -1; -1; -1; -1; -1; -1
202100001271;264 440;199 489;A01;1;1;1;2;1971;3;1;8; -1; -1; -1; -1
202100001271;264 441;199 490;B01;1;1;1;1;1988;0;2;8; -1; -1; -1; -1
202100001271;264 442;199 490;B01;2;2;4;2;2001;9;2;8; -1; -1; -1; -1
202100001271;264 443;199 490;B01;2;2;4;1;2020;9;2;8; -1; -1; -1; -1
202100001364;264 210;199 326;B01;1;1;1; -1;; -1; -1; -1; -1; -1; -1; -1
202100001364;264 211;199 327;A01;2;2;3;1;1986;0;2;0; -1; -1; -1; -1
202100001364;264 212;199 327;A01;1;1;3;1;1985;0;2;0; -1; -1; -1; -1
202100001420;264 066;199 240;A01;1;1;1;1;1990;5;0; -1; -1;0;0; -1
202100001420;264 067;199 240;A01;10;3;2;1;2018;5;0; -1; -1;5;4;1
202100001441;264 019;199 206;C01;1;1;1;1;1985;0;8;0; -1; -1; -1; -1
202100001441;264 020;199 207;B01;1;1;1;2;1971;0;1;8; -1; -1; -1; -1
202100001441;264 021;199 208;A01;2;2;4;2;1984;0;2;0; -1; -1; -1; -1
202100001441;264 022;199 208;A01;1;1;4;1;1996;0;2;0; -1; -1; -1; -1
202100001541;263 808;199 048;A01;1;1;1;1;2000;0;1; -1; -1;0;0; -1
202100001541;263 809;199 049;B01;1;1;2;1;2007;5;0; -1; -1;0;0; -1
202100001542;263 806;199 046;B01;1;1;1;1;1998;1;1; -1; -1;0;0; -1
202100001542;263 807;199 047;A01;1;1;3;1;1986;1;1; -1; -1;0;0; -1
202100001569;263 734;199 006;A01;1;1;1;1;1997;0;1;8; -1; -1; -1; -1
202100001569;263 735;199 007;B01;1;1;4;2;1983;0;1;8; -1; -1; -1; -1
202100001569;263 736;199 007;B01;2;2;4;1;1952;0;1;8; -1; -1; -1; -1
202100001570;263 731;199 004;A01;1;1;4;1;1978;0;2;8; -1; -1; -1; -1
202100001570;263 732;199 005;B01;2;2;4;2;1980;0;2;8; -1; -1; -1; -1
202100001570;263 733;199 005;B01;1;1;4;1;1988;0;2;8; -1; -1; -1; -1
202100001690;263 383;198 770;B01;1;1;4;2;1988;5;1;8; -1; -1; -1; -1
202100001690;263 384;198 771;A01;1;1;1;1;2001;3;1;8; -1; -1; -1; -1
202100001834;263 043;198 519;A01;1;1;4;1;1955;9;2; -1; -1; -1; -1; -1
202100001834;263 044;198 520;B01;1;1;1;2;1975;9;1; -1; -1; -1; -1; -1
202100002120;262 365;198 006;A01;1;1;4;2;1988;0;1;0; -1; -1; -1; -1
202100002120;262 366;198 007;B01;1;1;4;1;1969;0;1;0; -1; -1; -1; -1
202100002120;262 367;198 007;B01;2;2;1;1;2007;0;1;0; -1; -1; -1; -1
202100002120;262 368;198 008;C01;1;1;1;1;1977;0;1;0; -1; -1; -1; -1
202100002121;262 362;198 004;B01;1;1;4;1;1985;5;2; -1; -1; -1; -1; -1
202100002121;262 363;198 005;A01;1;1;4;1;1983;5;2; -1; -1; -1; -1; -1
202100002121;262 364;198 005;A01;2;2;1;1;1997;5;2; -1; -1; -1; -1; -1
202100002224;262 111;197 813;A01;1;1;1;2;1993;5;1;8; -1; -1; -1; -1
202100002224;262 112;197 813;A01;2;2;1;1;1987;0;1;0; -1; -1; -1; -1
202100002224;262 113;197 814;B01;1;1;4;1;1997;5;8;8; -1; -1; -1; -1
202100002360;261 766;197 563;A01;1;1;1;1;1958;0;1;8; -1; -1; -1; -1
202100002360;261 767;197 564;B01;1;1;1;1;1960;0;1;8; -1; -1; -1; -1
202100002360;261 768;197 564;B01;2;2;1;1;1983;0;1;8; -1; -1; -1; -1
202100002360;261 769;197 564;B01;6;2;4;1;2020;0;1;0; -1; -1; -1; -1
202100002527;261 361;197 260;A01;1;1;4;1;1993;5;2; -1; -1;0;0; -1
202100002527;261 362;197 261;B01;1;1;1;1;2000;5;1; -1; -1;0;0; -1
202100002571;261 261;197 188;A01;1;1;1;2;1965;5;1;0; -1; -1; -1; -1
202100002571;261 262;197 188;A01;10;3;4;2;2000;1;0; -1; -1;3;3;1
202100002572;261 259;197 186;A01;1;1;1;2;1990;0;1;8; -1; -1; -1; -1
202100002572;261 260;197 187;B01;1;1;4;2;1985;1;2;8; -1; -1; -1; -1
202100002731;260 869;196 888;A01;1;1;3;2;1992;5;2; -1; -1; -1; -1; -1
202100002731;260 870;196 888;A01;2;2;4;1;2011;0;2; -1; -1; -1; -1; -1
202100002731;260 871;196 889;B01;1;1;1;1;1993;9;1; -1; -1; -1; -1; -1
202100002732;260 866;196 886;A01;1;1;1;1;1972;9;1;8; -1; -1; -1; -1
202100002732;260 867;196 887;B01;1;1;1;1;1987;0;2;0; -1; -1; -1; -1
202100002732;260 868;196 887;B01;2;2;4;1;2008;2;2;0; -1; -1; -1; -1
202100002856;260 588;196 674;A01;2;2;1;2;2001;3;2; -1; -1;0;0; -1
202100002856;260 589;196 674;A01;1;1;3;2;1972;3;2; -1; -1;0;0; -1
202100002856;260 590;196 675;B01;1;1;1;1;1990;1;0; -1; -1;0;0; -1
202100003013;260 220;196 391;B01;1;1;1;2;2000;0;1; -1; -1;0;0; -1
202100003013;260 221;196 391;B01;3;2;1;2;1968;0;0; -1; -1;0;0; -1
202100003013;260 222;196 391;B01;5;2;3;2;2002;0;0; -1; -1;0;0; -1
