Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202100000305;201 174;A01;0;7;0;1;1;1;1;
202100000451;200 899;B01;1;7;0;2;2;2;1;
202100000451;200 900;A01;1;1;0;0;4;0;5;
202100000655;200 540;A01;1;31;0;9;1;1;1;
202100000655;200 541;B01;2;2;0;9;8;15;1;
202100000741;200 391;B01;3;30;1;0;0;1;1;
202100000741;200 392;A01;3;7;0;2;2;24;1;
202100000742;200 389;A01;1;7;0;2;1;1;1;
202100000742;200 390;B01;3;50;0;2;1;25;3;
202100000804;200 281;A01;1;7;13;0;1;0;1;
202100000840;200 228;B01;1;34;0;2;3;0;1;
202100000840;200 229;A01;2;7;0;9;6;15;1;
202100000931;200 085;B01;1;30;0;0;0;0;1;
202100000933;200 082;B01;1;7;0;0;0;0;0;
202100000933;200 083;A01;1;7;13;0;1;1;1;
202100000934;200 079;B01;3;2;0;2;1;17;0;
202100000934;200 080;A01;3;7;0;2;3;15;1;
202100000935;200 078;A01;1;7;0;0;0;17;1;
202100000966;200 027;A01;2;7;0;2;3;15;0;
202100000966;200 028;B01;1;2;0;2;1;0;0;
202100001153;199 711;A01;2;7;15;2;1;1;1;
202100001153;199 712;B01;2;7;6;2;7;1;1;
202100001154;199 709;B01;1;10;0;2;6;15;1;
202100001154;199 710;A01;1;7;0;2;1;13;1;
202100001155;199 707;A01;1;30;0;2;4;2;1;
202100001155;199 708;Z01;1;2;0;0;0;0;0;
202100001271;199 489;A01;3;7;0;2;5;1;1;
202100001271;199 490;B01;3;2;0;2;1;2;1;
202100001364;199 326;B01;1;7;0;2;3;6;0;
202100001364;199 327;A01;1;32;0;2;2;1;1;
202100001420;199 240;A01;3;7;0;1;4;4;1;
202100001441;199 206;C01;3;7;1;2;0;0;1;
202100001441;199 207;B01;1;7;0;2;6;1;1;
202100001441;199 208;A01;1;30;0;2;1;1;1;
202100001541;199 048;A01;1;10;0;2;1;2;1;
202100001541;199 049;B01;1;50;0;2;8;15;3;
202100001542;199 046;B01;2;7;0;2;1;2;1;
202100001542;199 047;A01;1;7;0;0;4;2;1;
202100001569;199 006;A01;2;7;0;2;3;13;1;
202100001569;199 007;B01;1;7;0;2;3;1;1;
202100001570;199 004;A01;0;30;0;2;1;9;1;
202100001570;199 005;B01;2;30;0;2;8;1;1;
202100001690;198 770;B01;1;7;0;2;5;2;1;
202100001690;198 771;A01;1;7;0;2;3;14;1;
