Accident_Id;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202200000102;21;10;2022;20:45;3;973;97307;1;1;1;2;RN1 VOIE RAPIDE;4,8953090000; -52,3298120000
202200000517;3;05;2022;19:20;3;973;97307;1;1;2;6;RD6;4,7909690000; -52,3547460000
202200000520;25;03;2022;18:25;2;973;97305;1;1;1;1;Avenue de la Laitiere;4,9324870000; -52,4470140000
202200000522;5;05;2022;09:30;1;973;97307;1;1;1;1;Chemin de la Chaumiere;4,8922765735; -52,3481208086
202200000658;24;03;2022;21:37;5;973;97302;2;2;1;6;DE GAULLE (AVENUE);4,9396000000; -52,3284900000
202200000660;24;03;2022;17:48;1;973;97302;2;1;1;2;BADUEL (ROUTE DE);4,9351410896; -52,3122811317
202200000664;24;03;2022;16:30;1;973;97302;2;3;1;3;BADUEL (ROUTE DE);4,9374100000; -52,3158200000
202200000774;19;10;2022;20:38;1;973;97302;2;2;1;3;CONSTANT CHLORE(RUE);4,9342000000; -52,3204000000
202200000777;19;10;2022;16:53;1;973;97302;2;2;1;3;MANDELA  (BOULEVARD);4,9406400000; -52,3267800000
202200000937;10;10;2022;17:00;1;973;97302;2;3;1;6;CABASSOU (ROUTE DE);4,9192337946; -52,3176026344
202200000938;10;10;2022;09:40;1;973;97302;2;1;2;3;FELIX EBOUE(ROCADE);4,9306766101; -52,3136624694
202200000939;10;10;2022;09:34;1;973;97302;1;1;1;6;ROUTE NATIONALE 1;4,9215872217; -52,3297584057
202200000941;10;10;2022;22:14;1;973;97309;2;1;2;7;TIGRE (ROUTE DU);4,9147400000; -52,3101100000
202200001016;19;09;2022;15:00;1;973;97309;2;1;1;3;Route de Rémire (rd2);4,9063730000; -52,2731210000
202200001058;16;09;2022;19:05;2;973;97302;2;1;1;6;A.HENRI(RUE);4,9337500000; -52,3340000000
202200001370;7;08;2022;05:50;2;973;97302;2;2;1;3;FELIX EBOUE(ROCADE);4,9296148219; -52,3151108623
202200001491;3;05;2022;07:35;1;973;97302;2;1;8;7;MANDELA  (BOULEVARD);4,9374600000; -52,3261100000
202200001645;23;03;2022;10:30;1;973;97304;1;1;8;1;PK 048.500;5,1006260000; -52,6279770000
202200001674;4;05;2022;21:30;5;973;97311;2;9;1;3;avenue st symphorien;5,4982560000; -54,0291040000
202200001740;2;05;2022;16:14;1;973;97302;2;1;8;6;CATAYEE (JUSTIN);4,9380912639; -52,3302894831
202200001743;1;05;2022;12:50;1;973;97302;2;2;1;3;MAILLARD DUMESLE;4,9387041004; -52,3291522264
202200001748;23;03;2022;14:20;1;973;97302;2;1;2;3;;4,9053200000; -52,3199200000
202200001820;26;11;2022;13:40;1;973;97304;2;1;1;7;rue Gustave Eiffel;5,1578600000; -52,6673520000
202200002226;2;06;2022;17:15;1;973;97307;1;1;1;6;Machloc / MecaDeal (Bricolage);4,8959930000; -52,3292970000
202200002290;3;06;2022;22:11;5;973;97306;2;1;1;1;Avenue Myrella Jean Elie;5,6703490000; -53,7856370000
202200002293;3;06;2022;14:05;1;973;97306;1;9;1;6;CD8 Pk24;5,5984500000; -53,7063870000
202200002348;18;10;2022;14:25;1;973;97302;2;3;1;3;RABAN (ROUTE DE);4,9279860606; -52,3138904572
202200002352;18;10;2022;14:10;1;973;97302;2;6;1;6;BADUEL (ROUTE DE);4,9299475217; -52,3041245341
