Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202400000187;13;08;2024;08:45;1;973;97302;2;3;1;5;BADUEL (ROUTE DE);4,93080000; -52,30555000
202400000240;22;03;2024;15:14;1;973;97302;2;2;1;3;MONTABO (ROUTE DE) 1;4,94354000; -52,31873000
202400000319;11;02;2024;21:40;3;973;97302;2;2;1;6;VOLTAIRE(AVENUE);4,94235617; -52,32241184
202400000467;17;09;2024;06:30;2;973;97302;2;3;1;7;RABAN (ROUTE DE);4,92606000; -52,31360000
202400000626;30;04;2024;19:15;3;973;97305;1;9;1;6;Route Nationale 1;4,94194600; -52,41352900
202400000668;29;04;2024;19:02;5;973;97302;2;2;1;3;DE GAULLE (AVENUE);4,93880030; -52,33173788
202400000870;12;08;2024;16:30;1;973;97302;2;1;1;6;LALLOUETTE;4,93976748; -52,33316392
202400000871;12;08;2024;09:20;1;973;97302;2;1;1;3;BADUEL (ROUTE DE);4,93084000; -52,30567000
202400000872;12;08;2024;08:50;1;973;97302;2;3;1;3;CABASSOU (ROUTE DE);4,91994339; -52,31957486
202400001016;13;02;2024;10:00;1;973;97309;2;1;1;3;Route de Rémire;4,89879862; -52,27390677
202400001064;11;02;2024;09:40;1;973;97302;2;1;1;5;BADUEL (ROUTE DE);4,92743557; -52,29076579
202400001066;9;02;2024;10:30;1;973;97302;2;3;1;3;MERE THERESA (rue);4,91832297; -52,31276393
202400001329;22;10;2024;20:50;5;973;97302;2;1;1;7;MADELEINE (ROUTE DE LA);4,91243393; -52,32107270
202400001331;22;10;2024;17:10;1;973;97302;2;1;1;2;MERE THERESA (rue);4,91872000; -52,31280000
202400001367;8;06;2024;07:00;1;973;97309;2;1;1;3;1741 Route de Montjoly;4,92333955; -52,28303897
202400002079;28;11;2024;18:05;5;973;97302;2;1;1;1;BADUEL (ROUTE DE);4,93600000; -52,31362000
202400002081;28;11;2024;13:55;1;973;97302;2;3;2;3;ZEPHIR (ROCADE);4,93803657; -52,30636221
202400002083;28;11;2024;07:30;2;973;97302;2;3;2;3;MADELEINE (ROUTE DE LA);4,91369000; -52,32081000
202400002089;17;09;2024;17:03;1;973;97302;2;1;1;3;BADUEL (ROUTE DE);4,92773000; -52,29168000
202400002210;30;04;2024;21:25;3;973;97307;1;2;1;2;RN1;4,89393000; -52,35455300
202400002320;27;04;2024;05:15;3;973;97302;2;9;1;7;MADELEINE (ROUTE DE LA);4,91713000; -52,32148000
