Année;Région Code;Région;Sexe;Taux standardisé;Borne inférieure de l'intervalle de confiance du taux standardisé;Borne supérieure de l'intervalle de confiance du taux standardisé;Test statistique - Différences régionales
2000;11;Île-de-France;Femmes;16.2914;13.594600000000002;19.403100000000002;C
2000;24;Centre-Val de Loire;Femmes;11.0433;7.473299999999999;16.0234;B
2000;28;Normandie;Femmes;8.18;5.639;11.7239;A
2000;84;Auvergne et Rhône-Alpes;Femmes;12.339400000000001;9.9204;15.2484;B
2000;24;Centre-Val de Loire;Hommes;28.489399999999996;22.4781;35.3747;B
2000;32;Hauts-de-France;Hommes;31.331500000000002;26.800600000000003;36.248999999999995;B
2000;52;Pays de la Loire;Hommes;32.6807;27.1029;38.7954;B
2000;53;Bretagne;Hommes;31.840000000000003;26.1168;38.1695;B
2000;76;Occitanie;Hommes;37.576;32.5754;42.856300000000005;C
2000;11;Île-de-France;Hommes et Femmes;22.3674;19.9049;25.0392;B
2000;27;Bourgogne et Franche-Comté;Hommes et Femmes;18.3226;15.1392;22.0017;B
2000;53;Bretagne;Hommes et Femmes;20.691000000000003;17.3533;24.4804;B
2000;75;Nouvelle Aquitaine;Hommes et Femmes;26.397599999999997;23.5457;29.4618;C
2000;84;Auvergne et Rhône-Alpes;Hommes et Femmes;21.7358;19.247500000000002;24.4483;B
2005;11;Île-de-France;Femmes;7.6751;6.406499999999999;9.170200000000001;B
2005;27;Bourgogne et Franche-Comté;Femmes;5.7699;4.2069;7.866;A
2005;28;Normandie;Femmes;5.2697;3.4979000000000005;7.865600000000001;A
2005;44;Grand Est;Femmes;8.055;6.372999999999999;10.1329;B
2005;52;Pays de la Loire;Femmes;6.682200000000001;5.067399999999999;8.7641;B
2005;11;Île-de-France;Hommes;19.7213;17.185200000000002;22.5298;A
2005;32;Hauts-de-France;Hommes;25.3982;22.3633;28.6927;B
2005;44;Grand Est;Hommes;23.1719;20.042299999999997;26.6276;B
2005;53;Bretagne;Hommes;20.7071;17.6654;24.1191;B
2005;84;Auvergne et Rhône-Alpes;Hommes;23.9864;21.507399999999997;26.654;B
2005;11;Île-de-France;Hommes et Femmes;13.5796;12.1261;15.1772;A
2005;28;Normandie;Hommes et Femmes;12.4138;10.199;15.029100000000001;A
2005;44;Grand Est;Hommes et Femmes;15.467;13.644;17.4842;B
2005;52;Pays de la Loire;Hommes et Femmes;14.4345;12.4764;16.6415;B
2005;53;Bretagne;Hommes et Femmes;14.0558;12.3015;16.0146;B
2005;84;Auvergne et Rhône-Alpes;Hommes et Femmes;15.7057;14.2754;17.2503;B
2010;11;Île-de-France;Femmes;5.5453;4.5254;6.7788;B
2010;24;Centre-Val de Loire;Femmes;4.2052;2.5741;6.7978;B
2010;28;Normandie;Femmes;5.145700000000001;3.6428000000000003;7.222199999999999;B
2010;32;Hauts-de-France;Femmes;5.0741000000000005;3.8541;6.6533999999999995;B
2010;44;Grand Est;Femmes;3.9585000000000004;2.9974;5.2111;A
2010;76;Occitanie;Femmes;8.6543;7.080699999999999;10.538;C
2010;11;Île-de-France;Hommes;12.8694;11.0808;14.8983;A
2010;24;Centre-Val de Loire;Hommes;15.159400000000002;11.6065;19.5594;B
2010;27;Bourgogne et Franche-Comté;Hommes;15.645100000000001;12.4889;19.4219;B
2010;52;Pays de la Loire;Hommes;20.3625;17.1405;24.0148;C
2010;11;Île-de-France;Hommes et Femmes;9.1081;8.0638;10.272499999999999;A
2010;24;Centre-Val de Loire;Hommes et Femmes;9.5339;7.524;12.0109;B
2010;32;Hauts-de-France;Hommes et Femmes;11.236;9.8359;12.806999999999999;B
2010;53;Bretagne;Hommes et Femmes;11.1995;9.475200000000001;13.1919;B
2014;11;Île-de-France;Femmes;4.662800000000001;3.4593;6.2578;B
2014;28;Normandie;Femmes;2.26;1.3448;3.7744;A
2014;44;Grand Est;Femmes;4.4614;2.7037;7.2766;B
2014;75;Nouvelle Aquitaine;Femmes;5.6284;4.0668999999999995;7.741099999999999;B
2014;76;Occitanie;Femmes;6.9816;5.0946;9.4976;C
2014;84;Auvergne et Rhône-Alpes;Femmes;4.9251000000000005;3.4669;6.9523;B
2014;24;Centre-Val de Loire;Hommes;16.6129;12.001000000000001;22.5433;B
2014;27;Bourgogne et Franche-Comté;Hommes et Femmes;9.5927;7.297199999999999;12.513;B
2014;52;Pays de la Loire;Hommes et Femmes;9.025500000000001;6.973999999999999;11.6052;B
2014;53;Bretagne;Hommes et Femmes;8.8429;6.846299999999999;11.3507;B
2014;84;Auvergne et Rhône-Alpes;Hommes et Femmes;8.6511;7.2808;10.2508;B
2017;27;Bourgogne et Franche-Comté;Femmes;5.4704999999999995;3.4827999999999997;8.4926;B
2017;28;Normandie;Femmes;3.1412000000000004;2.0061;4.8867;A
2017;32;Hauts-de-France;Femmes;5.5998;4.1568000000000005;7.5045;B
2017;53;Bretagne;Femmes;3.5681;2.4749;5.118799999999999;A
2017;11;Île-de-France;Hommes;10.241;8.7311;11.977699999999999;A
2017;24;Centre-Val de Loire;Hommes;16.1893;12.4182;20.833199999999998;B
2017;27;Bourgogne et Franche-Comté;Hommes;12.4401;9.7124;15.7998;B
2017;53;Bretagne;Hommes;18.2601;14.9811;22.0704;B
2017;76;Occitanie;Hommes;18.8554;16.233800000000002;21.790100000000002;C
2017;93;Provence-Alpes-Côte d'Azur;Hommes;16.974700000000002;14.0153;20.410600000000002;B
2017;52;Pays de la Loire;Hommes et Femmes;8.1326;6.7305;9.796199999999999;A
2017;76;Occitanie;Hommes et Femmes;12.5472;11.0489;14.2163;C
2017;84;Auvergne et Rhône-Alpes;Hommes et Femmes;9.9462;8.7888;11.2372;B
2021;1;Guadeloupe;Femmes;1.6;0.6;3.2;A
2021;2;Martinique;Femmes;1.5;0.8;2.5;A
2021;4;Réunion;Femmes;3.0;1.9;4.6;B
2021;44;Grand Est;Femmes;2.5;1.5;3.9;B
2021;84;Auvergne et Rhône-Alpes;Femmes;4.6;3.4000000000000004;6.0;B
2021;93;Provence-Alpes-Côte d'Azur;Femmes;4.5;3.0;6.4;B
2021;2;Martinique;Hommes;7.000000000000001;4.9;9.6;A
2021;4;Réunion;Hommes;7.8;5.800000000000001;10.299999999999999;A
2021;11;Île-de-France;Hommes;9.3;7.6;11.4;A
2021;32;Hauts-de-France;Hommes;11.1;8.7;14.000000000000002;B
2021;52;Pays de la Loire;Hommes;15.4;11.799999999999999;19.7;B
2021;24;Centre-Val de Loire;Hommes et Femmes;7.7;5.7;10.100000000000001;B
2021;44;Grand Est;Hommes et Femmes;8.1;6.5;10.0;B
2021;75;Nouvelle Aquitaine;Hommes et Femmes;9.6;8.200000000000001;11.200000000000001;C
2021;84;Auvergne et Rhône-Alpes;Hommes et Femmes;8.1;6.9;9.4;B
2000;27;Bourgogne et Franche-Comté;Femmes;9.6263;6.5777;13.877999999999998;B
2000;44;Grand Est;Femmes;10.1625;7.664700000000001;13.356399999999999;B
2000;52;Pays de la Loire;Femmes;11.923499999999999;8.9884;15.6523;B
2000;53;Bretagne;Femmes;10.1168;7.1716;14.0881;B
2000;76;Occitanie;Femmes;15.5702;12.4263;19.3338;C
2000;93;Provence-Alpes-Côte d'Azur;Femmes;9.6061;7.0067;13.0346;B
2000;11;Île-de-France;Hommes;28.7338;24.7367;33.0928;B
2000;28;Normandie;Hommes;23.4785;18.2862;29.610999999999997;A
2000;44;Grand Est;Hommes;32.282;27.649;37.2911;B
2000;75;Nouvelle Aquitaine;Hommes;39.3167;34.5128;44.3367;C
2000;84;Auvergne et Rhône-Alpes;Hommes;31.600099999999998;27.448800000000002;36.0671;B
2000;93;Provence-Alpes-Côte d'Azur;Hommes;28.523300000000003;23.7737;33.8011;B
2000;24;Centre-Val de Loire;Hommes et Femmes;19.56;15.908;23.813000000000002;B
2000;44;Grand Est;Hommes et Femmes;20.9672;18.2255;24.0004;B
2000;76;Occitanie;Hommes et Femmes;26.312799999999996;23.2598;29.611700000000003;C
2000;93;Provence-Alpes-Côte d'Azur;Hommes et Femmes;18.8232;16.0533;21.945999999999998;B
2005;24;Centre-Val de Loire;Femmes;6.662;4.730700000000001;9.3048;B
2005;32;Hauts-de-France;Femmes;8.2256;6.630999999999999;10.1618;B
2005;53;Bretagne;Femmes;7.627599999999999;6.004700000000001;9.644;B
2005;75;Nouvelle Aquitaine;Femmes;8.6806;7.1697;10.474;B
2005;76;Occitanie;Femmes;9.8173;8.3321;11.5339;C
2005;76;Occitanie;Hommes;28.184199999999997;25.2591;31.306099999999997;C
2005;27;Bourgogne et Franche-Comté;Hommes et Femmes;13.499;11.5335;15.740000000000002;B
2005;76;Occitanie;Hommes et Femmes;18.8257;17.1347;20.642;C
2005;93;Provence-Alpes-Côte d'Azur;Hommes et Femmes;15.465300000000001;13.8138;17.274700000000003;B
2010;27;Bourgogne et Franche-Comté;Femmes;3.9404000000000003;2.5817;5.9704;B
2010;52;Pays de la Loire;Femmes;5.905;4.2493;8.1509;B
2010;53;Bretagne;Femmes;5.3632;3.9521;7.2402;B
2010;75;Nouvelle Aquitaine;Femmes;5.5701;4.4489;6.9533;B
2010;84;Auvergne et Rhône-Alpes;Femmes;5.7936000000000005;4.7259;7.0845;B
2010;93;Provence-Alpes-Côte d'Azur;Femmes;6.6211;5.1431;8.485800000000001;B
2010;28;Normandie;Hommes;12.6276;9.8813;16.0017;A
2010;44;Grand Est;Hommes;14.144300000000001;12.0492;16.5353;B
2010;84;Auvergne et Rhône-Alpes;Hommes;17.006;14.835999999999999;19.421;B
2010;93;Provence-Alpes-Côte d'Azur;Hommes;16.744600000000002;13.952899999999998;19.9653;B
2010;27;Bourgogne et Franche-Comté;Hommes et Femmes;9.6341;7.8774999999999995;11.7325;B
2010;28;Normandie;Hommes et Femmes;8.7853;7.183199999999999;10.7034;A
2010;52;Pays de la Loire;Hommes et Femmes;12.9378;11.0767;15.0587;C
2010;76;Occitanie;Hommes et Femmes;14.7335;13.1746;16.4418;C
2010;93;Provence-Alpes-Côte d'Azur;Hommes et Femmes;11.5457;9.940999999999999;13.3708;B
2014;52;Pays de la Loire;Femmes;3.3325;2.0122999999999998;5.4704999999999995;B
2014;11;Île-de-France;Hommes;10.0099;8.1683;12.211500000000001;A
2014;32;Hauts-de-France;Hommes;15.624099999999999;12.3035;19.6402;B
2014;44;Grand Est;Hommes;16.6101;13.0675;20.8823;B
2014;76;Occitanie;Hommes;17.891000000000002;14.382200000000001;22.0355;C
2014;28;Normandie;Hommes et Femmes;7.3786000000000005;5.5594;9.7318;B
2014;76;Occitanie;Hommes et Femmes;12.2829;10.2344;14.674400000000002;C
2014;93;Provence-Alpes-Côte d'Azur;Hommes et Femmes;10.585600000000001;8.7353;12.7728;B
2017;11;Île-de-France;Femmes;4.152200000000001;3.3468;5.1411;A
2017;24;Centre-Val de Loire;Femmes;4.74;3.0355;7.3293;B
2017;44;Grand Est;Femmes;5.6741;4.2857;7.477200000000001;B
