Année;Sexe;Classe d'âge;Nombre de décès;Taux brut;Taux standardisé
2019;Hommes;11-14 ans;7.0;0.4;
2019;Hommes;25-44 ans;1600.0;20.1;
2019;Hommes;45-64 ans;2611.0;30.7;
2019;Hommes;65-84 ans;1589.0;31.2;
2019;Hommes;85 ans et plus;547.0;78.0;
2019;Hommes;Tous;6655.5;20.5;20.7
2019;Femmes;00-10 ans;0.0;0.0;
2019;Femmes;15-17 ans;35.0;2.9;
2019;Femmes;18-24 ans;80.0;3.0;
2019;Femmes;Tous;2165.0;6.2;6.3
2019;Hommes et Femmes;25-44 ans;1996.0;12.3;
2019;Hommes et Femmes;65-84 ans;2141.0;19.0;
2019;Hommes et Femmes;85 ans et plus;736.0;33.3;
2019;Hommes et Femmes;Tous;8820.5;13.1;13.3
2020;Hommes;00-10 ans;2.5;0.1;
2020;Hommes;65-84 ans;1641.0;31.5;
2020;Femmes;00-10 ans;2.5;0.1;
2020;Femmes;25-44 ans;397.0;4.8;
2020;Hommes et Femmes;11-14 ans;28.0;0.8;
2020;Hommes et Femmes;45-64 ans;3501.5;20.0;
2020;Hommes et Femmes;Tous;8962.5;13.3;13.4
2021;Hommes;18-24 ans;285.0;10.1;
2021;Hommes;45-64 ans;2517.0;29.5;
2021;Femmes;11-14 ans;16.0;1.0;
2021;Femmes;45-64 ans;848.0;9.5;
2021;Hommes et Femmes;45-64 ans;3365.0;19.3;
2021;Hommes et Femmes;85 ans et plus;741.0;32.8;
2022;Femmes;15-17 ans;37.0;3.0;
2022;Femmes;18-24 ans;121.0;4.5;
2022;Femmes;25-44 ans;423.0;5.1;
2022;Femmes;45-64 ans;884.0;9.9;
2022;Hommes et Femmes;00-10 ans;2.5;0.0;
2022;Hommes et Femmes;11-14 ans;39.0;1.1;
2022;Hommes et Femmes;65-84 ans;2400.0;20.1;
2023;Hommes;11-14 ans;11.0;0.6;
2023;Hommes;15-17 ans;44.0;3.3;
2023;Hommes;18-24 ans;262.0;9.2;
2023;Hommes;45-64 ans;2450.0;28.7;
2023;Hommes et Femmes;18-24 ans;374.0;6.7;
2023;Hommes et Femmes;25-44 ans;2012.0;12.2;
2023;Hommes et Femmes;45-64 ans;3316.0;19.0;
2023;Hommes et Femmes;85 ans et plus;750.0;33.1;
2023;Hommes et Femmes;Tous;8848.5;13.0;13.0
2019;Hommes;00-10 ans;2.5;0.1;
2019;Hommes;15-17 ans;42.0;3.2;
2019;Hommes;18-24 ans;257.0;9.3;
2019;Femmes;11-14 ans;17.0;1.0;
2019;Femmes;25-44 ans;396.0;4.8;
2019;Femmes;45-64 ans;896.0;10.0;
2019;Femmes;65-84 ans;552.0;9.0;
2019;Hommes et Femmes;11-14 ans;24.0;0.7;
2019;Hommes et Femmes;15-17 ans;77.0;3.1;
