Année;Région Code;Région;Classe d'âge;Sexe;Nombre de décès;Taux brut;Taux standardisé
2019;01;Guadeloupe;00-10 ans;Hommes;0.0;0.0;
2019;01;Guadeloupe;18-24 ans;Hommes;5.0;33.6;
2019;01;Guadeloupe;11-17 ans;Femmes;0.0;0.0;
2019;01;Guadeloupe;18-24 ans;Hommes et Femmes;7.5;25.8;
2019;01;Guadeloupe;25-44 ans;Hommes et Femmes;7.5;9.6;
2019;01;Guadeloupe;Tous;Hommes et Femmes;36.0;9.4;9.5
2020;01;Guadeloupe;11-17 ans;Hommes;0.0;0.0;
2020;01;Guadeloupe;18-24 ans;Hommes;2.5;17.3;
2020;01;Guadeloupe;00-10 ans;Femmes;0.0;0.0;
2020;01;Guadeloupe;11-17 ans;Femmes;0.0;0.0;
2020;01;Guadeloupe;65 ans et plus;Femmes;2.5;5.7;
2020;01;Guadeloupe;Tous;Femmes;5.0;2.4;2.2
2020;01;Guadeloupe;11-17 ans;Hommes et Femmes;0.0;0.0;
2021;01;Guadeloupe;11-17 ans;Hommes;0.0;0.0;
2021;01;Guadeloupe;65 ans et plus;Hommes;12.0;34.8;
2021;01;Guadeloupe;11-17 ans;Femmes;0.0;0.0;
2021;01;Guadeloupe;25-44 ans;Femmes;0.0;0.0;
2021;01;Guadeloupe;45-64 ans;Femmes;2.5;3.9;
2021;01;Guadeloupe;Tous;Femmes;2.5;1.2;1.5
2021;01;Guadeloupe;Tous;Hommes et Femmes;45.5;11.8;11.6
2022;01;Guadeloupe;00-10 ans;Hommes;0.0;0.0;
2022;01;Guadeloupe;11-17 ans;Hommes;0.0;0.0;
2022;01;Guadeloupe;00-10 ans;Femmes;0.0;0.0;
2022;01;Guadeloupe;25-44 ans;Femmes;2.5;5.8;
2022;01;Guadeloupe;45-64 ans;Femmes;2.5;3.9;
2022;01;Guadeloupe;11-17 ans;Hommes et Femmes;0.0;0.0;
2023;01;Guadeloupe;25-44 ans;Hommes;7.0;22.6;
2023;01;Guadeloupe;11-17 ans;Femmes;0.0;0.0;
2023;01;Guadeloupe;45-64 ans;Femmes;2.5;3.9;
2019;02;Martinique;00-10 ans;Hommes;0.0;0.0;
2019;02;Martinique;25-44 ans;Hommes;2.5;8.1;
2019;02;Martinique;00-10 ans;Femmes;0.0;0.0;
2019;02;Martinique;65 ans et plus;Femmes;2.5;5.7;
2019;02;Martinique;Tous;Femmes;9.0;4.6;4.9
2019;02;Martinique;25-44 ans;Hommes et Femmes;5.0;7.0;
2020;02;Martinique;00-10 ans;Hommes;0.0;0.0;
2020;02;Martinique;11-17 ans;Hommes;0.0;0.0;
2020;02;Martinique;45-64 ans;Hommes;8.0;15.4;
2020;02;Martinique;11-17 ans;Femmes;0.0;0.0;
2020;02;Martinique;Tous;Femmes;8.0;4.1;3.7
2020;02;Martinique;00-10 ans;Hommes et Femmes;0.0;0.0;
2020;02;Martinique;11-17 ans;Hommes et Femmes;0.0;0.0;
2020;02;Martinique;18-24 ans;Hommes et Femmes;2.5;9.8;
2020;02;Martinique;45-64 ans;Hommes et Femmes;10.5;9.1;
2021;02;Martinique;00-10 ans;Hommes;0.0;0.0;
2021;02;Martinique;18-24 ans;Hommes;0.0;0.0;
2021;02;Martinique;25-44 ans;Hommes;5.0;16.7;
2021;02;Martinique;45-64 ans;Hommes;7.0;13.6;
2021;02;Martinique;11-17 ans;Femmes;0.0;0.0;
2021;02;Martinique;25-44 ans;Femmes;0.0;0.0;
2021;02;Martinique;65 ans et plus;Femmes;0.0;0.0;
2021;02;Martinique;45-64 ans;Hommes et Femmes;9.5;8.3;
2021;02;Martinique;65 ans et plus;Hommes et Femmes;7.0;8.6;
2021;02;Martinique;Tous;Hommes et Femmes;21.5;6.0;6.1
2022;02;Martinique;25-44 ans;Hommes;2.5;8.4;
2022;02;Martinique;45-64 ans;Hommes;5.0;9.7;
2022;02;Martinique;11-17 ans;Femmes;0.0;0.0;
2022;02;Martinique;18-24 ans;Femmes;0.0;0.0;
2022;02;Martinique;45-64 ans;Femmes;2.5;4.0;
