Année;Région;Région Code;Sexe;Taux standardisés de personnes de 18-75 ans déclarant fumer tous les jours;Borne inférieure de l'intervalle de confiance du taux standardisés de personnes de 18-75 ans déclarant fumer tous les jours.;Borne supérieure de l'intervalle de confiance du taux standardisés de personnes de 18-75 ans déclarant fumer tous les jours.;Différences régionales entre taux standardisés de tabagisme quotidien chez les 18-75 ans
2000;Grand Est;44;Hommes et Femmes;31.705;28.589;34.9943;B
2000;Bretagne;53;Hommes et Femmes;29.3613;25.680500000000002;33.333;B
2000;Auvergne et Rhône-Alpes;84;Hommes et Femmes;29.8535;27.213700000000003;32.634600000000006;B
2000;Occitanie;76;Hommes et Femmes;30.688100000000002;27.491500000000002;34.0817;B
2014;Île-de-France;11;Hommes et Femmes;24.0082;21.9709;26.171;A
2014;Grand Est;44;Hommes et Femmes;31.264799999999997;28.086699999999997;34.6293;B
2010;Île-de-France;11;Hommes et Femmes;28.0223;26.3807;29.724899999999998;A
2021;Hauts-de-France;32;Hommes et Femmes;26.377200000000002;23.6883;29.0662;B
2021;Normandie;28;Hommes et Femmes;25.2911;21.924599999999998;28.657700000000002;B
2005;Bourgogne et Franche-Comté;27;Hommes et Femmes;29.043400000000002;26.246399999999998;32.009100000000004;B
2005;Bretagne;53;Hommes et Femmes;27.411400000000004;24.959899999999998;30.0074;B
2005;Nouvelle Aquitaine;75;Hommes et Femmes;28.023300000000003;26.0281;30.1092;B
2010;Grand Est;44;Hommes et Femmes;29.0937;27.0644;31.209999999999997;B
2010;Hauts-de-France;32;Hommes et Femmes;30.868000000000002;28.7456;33.0745;B
2005;Île-de-France;11;Hommes et Femmes;26.938499999999998;25.244;28.703200000000002;B
2021;Centre-Val de Loire;24;Hommes et Femmes;21.6502;17.9748;25.3257;B
2021;Bourgogne et Franche-Comté;27;Hommes et Femmes;26.7194;23.0781;30.3607;B
2017;Centre-Val de Loire;24;Hommes et Femmes;27.9806;24.5202;31.724200000000003;B
2017;Bourgogne et Franche-Comté;27;Hommes et Femmes;28.604200000000002;25.361299999999996;32.0834;B
2017;Bretagne;53;Hommes et Femmes;26.5128;23.747799999999998;29.475299999999997;B
2005;Occitanie;76;Hommes et Femmes;29.095399999999998;27.1051;31.169400000000003;B
2005;Provence-Alpes-Côte d'Azur;93;Hommes et Femmes;30.379;28.144099999999998;32.710499999999996;C
2010;Centre-Val de Loire;24;Hommes et Femmes;29.328;26.0642;32.819199999999995;B
2010;Pays de la Loire;52;Hommes et Femmes;26.1396;23.6143;28.8331;A
2010;Auvergne et Rhône-Alpes;84;Hommes et Femmes;27.158900000000003;25.3206;29.078599999999998;A
2010;Occitanie;76;Hommes et Femmes;32.982;30.709500000000002;35.3369;C
2014;Bourgogne et Franche-Comté;27;Hommes et Femmes;27.4227;23.2992;31.9718;B
2017;Auvergne et Rhône-Alpes;84;Hommes et Femmes;26.2376;24.378800000000002;28.1852;B
2017;Provence-Alpes-Côte d'Azur;93;Hommes et Femmes;32.1702;29.503600000000002;34.958299999999994;C
2014;Nouvelle Aquitaine;75;Hommes et Femmes;30.847;28.028100000000002;33.8163;B
2014;Occitanie;76;Hommes et Femmes;30.688900000000004;27.5482;34.0196;B
2014;Provence-Alpes-Côte d'Azur;93;Hommes et Femmes;30.686999999999998;27.395199999999996;34.1882;B
2021;Provence-Alpes-Côte d'Azur;93;Hommes et Femmes;29.0551;26.2215;31.8886;C
2021;Nouvelle Aquitaine;75;Hommes et Femmes;25.278699999999997;22.892000000000003;27.6654;B
2021;Auvergne et Rhône-Alpes;84;Hommes et Femmes;24.8698;22.761400000000002;26.9783;B
2000;Centre-Val de Loire;24;Hommes;36.4587;29.8393;43.633300000000006;B
2000;Bretagne;53;Hommes;34.283500000000004;28.5369;40.531;B
2000;Occitanie;76;Hommes;31.6222;26.942700000000002;36.706;B
2005;Normandie;28;Hommes;32.5108;27.5116;37.943;B
2005;Centre-Val de Loire;24;Hommes;30.950400000000002;25.861600000000003;36.547000000000004;B
2005;Bourgogne et Franche-Comté;27;Hommes;31.647599999999997;27.4715;36.1422;B
2005;Nouvelle Aquitaine;75;Hommes;30.909;27.851799999999997;34.143;B
2005;Auvergne et Rhône-Alpes;84;Hommes;29.4245;26.8365;32.1523;A
2010;Île-de-France;11;Hommes;31.311600000000002;28.8364;33.898;B
2010;Centre-Val de Loire;24;Hommes;33.577;28.560799999999997;38.9933;B
2010;Bretagne;53;Hommes;33.6352;29.4765;38.063900000000004;B
2014;Normandie;28;Hommes;34.3642;28.3013;40.983599999999996;B
